workerId,task,index,rt,type,size,role,meanV,meanU,stdV,stdU
0,Two,1,24260,2D,8,att,0.396707943,0.196306013,0.242212433,0.165933849
0,Two,2,4541,2D,4,att,0.558127456,0.124688447,0.4138503,0.150200548
0,Two,3,5224,vsum,4,att,0.401306105,0.062343441,0.268946235,0.076960003
0,Two,4,7165,juxta,4,att,0.111719198,0.484162227,0.223438397,0.512851808
0,Two,5,16067,vsum,8,att,0.50744334,0.086737908,0.282000106,0.078217059
0,Two,6,11376,vsum,4,def,0.75,0.687424931,0.5,0.473229167
0,Two,7,6925,vsum,8,def,0.191246549,0.889330555,0.341485673,0.092226979
0,Two,8,9031,juxta,8,def,0.847412986,0.575219752,0.192189587,0.398341208
0,Two,9,3993,juxta,4,def,0.6465906,0.56148746,0.235856099,0.337253252
0,Two,11,16421,juxta,8,att,0.147829984,0.678713815,0.135933778,0.328243971
0,Two,10,9499,2D,4,def,0.463918878,0.975994035,0.538917953,0.021874623
1,Two,1,34844,2D,8,def,0.327240926,0.32150007,0.199718071,0.256023837
0,Two,12,10229,2D,8,def,0.14335539,0.78505751,0.130940676,0.146803108
1,Two,3,14025,2D,4,att,0.754146502,0.175089078,0.20129137,0.296958464
1,Two,4,9442,vsum,4,def,0.298763516,0.312020319,0.200927717,0.223432935
1,Two,5,12853,vsum,4,att,0.680530443,0.106458154,0.214020447,0.105906796
1,Two,2,12187,2D,4,def,0.285862954,0.106222903,0.194577677,0.095458273
1,Two,6,12373,juxta,4,att,0.902293066,0.553704917,0.195413869,0.487065644
1,Two,7,15543,vsum,8,att,0.639431481,0.287454308,0.153187225,0.167308475
1,Two,8,14394,vsum,8,def,0.371788372,0.266831724,0.157636411,0.16707093
1,Two,9,11556,juxta,8,att,0.930388921,0.700026715,0.079692819,0.324162245
1,Two,10,13924,2D,8,att,0.645504336,0.28235598,0.210666029,0.210441477
2,Two,2,17230,2D,8,def,0.314076121,0.269893224,0.257693561,0.270863681
1,Two,12,7949,juxta,4,def,0.093450684,0.565793059,0.186901369,0.420478103
2,Two,1,23843,2D,4,def,0.086093249,0.487763814,0.172186499,0.490570824
2,Two,3,15686,juxta,4,def,0.011284859,0.555872078,0.022569718,0.421161912
2,Two,4,19987,vsum,4,att,0.605070845,0.199029798,0.270052457,0.273293776
2,Two,5,18488,juxta,8,att,0.909399618,0.857356528,0.061930931,0.151212356
2,Two,6,11546,2D,4,att,0.873026345,0.626162467,0.253947311,0.456934177
2,Two,7,7671,juxta,4,att,0.988934729,0.684850475,0.022130541,0.468080587
2,Two,8,10538,juxta,8,def,0.188348016,0.477992457,0.169792303,0.431607314
1,Two,11,16061,juxta,8,def,0.200356418,0.582993957,0.224291084,0.289148637
2,Two,10,14587,vsum,8,def,0.343141658,0.25422726,0.152961345,0.250862671
2,Two,11,12571,2D,8,att,0.840993229,0.605073746,0.123438465,0.284974443
3,Two,1,20786,juxta,4,def,0.046925622,0.591473862,0.093851244,0.425502536
2,Two,9,9425,vsum,4,def,0.218959719,0.418441734,0.252856789,0.310912173
2,Two,12,10650,vsum,8,att,0.729942142,0.513607836,0.206223124,0.211403829
3,Two,2,9094,2D,4,def,0.31968642,0.115181598,0.23006432,0.079019182
3,Two,4,10908,2D,8,def,0.438670464,0.124543327,0.198036115,0.099464448
3,Two,3,12865,juxta,8,att,0.821518954,0.525077164,0.198461372,0.342365507
3,Two,5,34653,2D,8,att,0.593361756,0.157783523,0.170905288,0.084943938
3,Two,6,12235,vsum,8,def,0.371127599,0.097437317,0.153981696,0.070414398
3,Two,7,12318,vsum,4,att,0.587036761,0.188766957,0.276449494,0.17465545
3,Two,8,8765,vsum,4,def,0.312242137,0.133523305,0.214148897,0.116376596
3,Two,9,5428,juxta,4,att,0.964635436,0.602218957,0.070729128,0.440925503
3,Two,11,21642,vsum,8,att,0.508575589,0.119230748,0.219506235,0.087787297
3,Two,12,10333,juxta,8,def,0.084662285,0.699828027,0.096114902,0.341820719
4,Two,1,49041,2D,8,def,0.266956247,0.478715575,0.140840394,0.219003585
3,Two,10,6331,2D,4,att,0.611043597,0.107160454,0.259305998,0.078864238
4,Two,2,23552,2D,8,att,0.744489143,0.420549162,0.204006731,0.307403204
4,Two,3,32727,juxta,8,def,0.109305563,0.787039917,0.117435825,0.332559972
4,Two,4,6930,juxta,4,att,0.961930732,0.869767676,0.045964745,0.141423169
4,Two,5,13595,vsum,4,att,0.793896974,0.458630193,0.233581886,0.31514422
4,Two,7,10916,vsum,4,def,0.593084519,0.632383556,0.493841627,0.44451008
4,Two,6,10766,juxta,4,def,0.00941678,0.583493822,0.018833559,0.429171709
4,Two,8,27981,vsum,8,att,0.726796238,0.538569296,0.157116003,0.22509895
4,Two,9,10388,juxta,8,att,0.931078921,0.65554394,0.064394685,0.310590282
4,Two,10,6599,2D,4,def,0.158318952,0.448585231,0.183240477,0.498746247
4,Two,11,10795,vsum,8,def,0.296562073,0.603106927,0.249792597,0.282398203
4,Two,12,10481,2D,4,att,0.932719712,0.718502803,0.134560577,0.480256209
5,Two,1,35231,juxta,8,att,0.930098263,0.681859105,0.064226842,0.295000302
5,Two,2,23563,juxta,8,def,0.176927126,0.567763968,0.168630794,0.305597899
5,Two,3,13490,vsum,4,def,0.156304025,0.483090949,0.223913929,0.332743226
5,Two,4,12798,vsum,8,def,0.303251752,0.507516053,0.150303557,0.218480223
5,Two,6,6017,2D,4,def,0.388362523,0.069535033,0.269592796,0.106752196
5,Two,5,22271,juxta,4,def,0.092953697,0.446779373,0.185907394,0.509238003
5,Two,7,10850,vsum,4,att,0.668094594,0.200391541,0.22145215,0.222890637
5,Two,8,8616,2D,8,def,0.133502088,0.554115539,0.114518707,0.282886023
5,Two,9,7600,juxta,4,att,0.744449274,0.428077991,0.496409869,0.494360243
5,Two,11,5849,vsum,8,att,0.719292405,0.515710411,0.191511216,0.220663134
5,Two,10,10351,2D,4,att,0.997929219,0.670639097,0.004141562,0.459780928
5,Two,12,5900,2D,8,att,0.897082499,0.663396031,0.101781059,0.306408144
6,Two,2,143935,juxta,8,def,0.306914431,0.270948326,0.156717722,0.291870475
6,Two,3,58955,2D,8,def,0.344017146,0.251177701,0.242072889,0.213168855
6,Two,1,108903,vsum,8,def,0.332240977,0.104148272,0.139658359,0.12339935
6,Two,4,66311,juxta,4,att,0.810315077,0.471533765,0.22002986,0.317871553
6,Two,5,22323,juxta,4,def,0.111882539,0.577420423,0.223765077,0.43927221
6,Two,6,30429,vsum,4,def,0.344723765,0.30661675,0.23401128,0.324390054
6,Two,7,25984,2D,4,def,0.3622971,0.269924278,0.25006365,0.252261311
6,Two,8,49900,2D,4,att,0.589308714,0.169450784,0.288784003,0.213600827
6,Two,11,29252,2D,8,att,0.59206775,0.179052788,0.275779688,0.170509701
6,Two,9,89065,juxta,8,att,0.723733204,0.356171377,0.175139136,0.317197294
6,Two,12,15071,vsum,4,att,0.78557119,0.360407836,0.230301358,0.25579653
6,Two,10,48600,vsum,8,att,0.636111979,0.240725892,0.156499312,0.149524606
7,Two,1,75072,2D,8,def,0.225474553,0.516895994,0.19761133,0.385678327
7,Two,2,17525,juxta,8,att,0.960898738,0.757210621,0.046901371,0.328683864
7,Two,3,9777,juxta,4,def,0.08686547,0.579462086,0.17373094,0.424242599
7,Two,4,7271,2D,4,att,0.856977115,0.602675766,0.12919965,0.424584715
7,Two,5,13129,2D,8,att,0.853762071,0.678568469,0.129667725,0.315215125
7,Two,6,22989,juxta,8,def,0.044405402,0.685294357,0.078265603,0.319173561
7,Two,7,32783,vsum,8,att,0.549957817,0.117551082,0.202545653,0.091624845
7,Two,8,8332,vsum,4,def,0.301310801,0.432543964,0.206940589,0.292416783
7,Two,9,14686,2D,4,def,0.131537641,0.455798313,0.263075281,0.508648674
7,Two,10,18455,vsum,8,def,0.335984981,0.102757039,0.143558967,0.057466882
7,Two,11,8842,vsum,4,att,0.674689481,0.188567396,0.226189255,0.220083601
7,Two,12,8243,juxta,4,att,0.960011137,0.545429687,0.067596075,0.369664509
8,Two,1,34596,2D,4,att,0.857299687,0.527837023,0.285400626,0.461262095
8,Two,2,12437,juxta,4,def,0.086621271,0.5577672,0.173242541,0.426392275
8,Two,3,28665,2D,4,def,0.020708237,0.65873634,0.041416473,0.46826008
8,Two,4,31085,2D,8,att,0.876075103,0.604268198,0.116910346,0.309329373
8,Two,5,29697,vsum,8,def,0.369031161,0.117893573,0.154412749,0.092860903
8,Two,6,12230,2D,8,def,0.130778302,0.599951187,0.113048632,0.272382287
8,Two,7,29235,vsum,8,att,0.68824386,0.468452216,0.169193485,0.21414087
8,Two,8,43252,juxta,8,att,0.955280973,0.694100413,0.045165932,0.316253968
8,Two,9,11940,vsum,4,att,0.678173654,0.323488205,0.215737633,0.241705724
8,Two,11,25679,juxta,8,def,0.163605102,0.444367352,0.183115789,0.384867479
8,Two,10,44530,juxta,4,att,0.803347398,0.301887937,0.227811551,0.32120044
8,Two,12,15508,vsum,4,def,0.306207326,0.211087629,0.205956413,0.183305766
9,Two,1,11650,vsum,4,att,0.764157322,0.452230979,0.273249449,0.317360626
9,Two,2,16386,vsum,8,att,0.731908851,0.531246249,0.17673583,0.224720988
9,Two,3,44411,juxta,4,def,0.019711143,0.609514194,0.039422286,0.427878331
9,Two,4,13856,2D,8,def,0.117520445,0.725254414,0.11120524,0.3282042
9,Two,5,10992,2D,4,def,0.128322418,0.535552745,0.256644837,0.477432857
9,Two,7,9568,2D,8,att,0.923538545,0.619888921,0.095776995,0.28037365
9,Two,6,24381,vsum,4,def,0.103864423,0.535395302,0.163955889,0.410897397
9,Two,8,17099,juxta,8,att,0.961733504,0.747520674,0.043757549,0.328463243
9,Two,9,7604,2D,4,att,0.950718871,0.843119654,0.057231527,0.140282489
9,Two,10,23577,vsum,8,def,0.654535649,0.426317851,0.166906523,0.2509835
9,Two,11,3658,juxta,4,att,0.933444493,0.625680172,0.133111014,0.439215095
10,Two,1,33558,2D,4,att,0.596020107,0.140795895,0.275409821,0.155498932
10,Two,2,36705,vsum,8,att,0.664720337,0.256419463,0.137209032,0.169296361
9,Two,12,12900,juxta,8,def,0.173772647,0.559220201,0.26267339,0.410451389
10,Two,5,120957,juxta,8,def,0.26875176,0.230864793,0.187088059,0.273562218
10,Two,7,23427,vsum,4,att,0.76640014,0.292337788,0.239979034,0.312338488
10,Two,6,27223,2D,4,def,0.210309693,0.407084731,0.308992148,0.450003356
10,Two,4,27637,juxta,4,def,0.06615664,0.9376796,0.130174042,0.042728603
10,Two,3,60004,juxta,4,att,0.881619013,0.605625944,0.236761974,0.472360547
10,Two,8,54360,vsum,8,def,0.341997216,0.090420632,0.145802996,0.068029517
10,Two,9,22012,2D,8,def,0.418402911,0.145108988,0.203101187,0.124105148
10,Two,10,13214,vsum,4,def,0.33524352,0.239403016,0.227682231,0.210759181
10,Two,12,16494,2D,8,att,0.414853137,0.149240472,0.179325066,0.100633709
10,Two,11,115572,juxta,8,att,0.336361918,0.148247524,0.14380227,0.108433161
11,Two,1,33490,2D,4,def,0.369646054,0.160767073,0.269964623,0.175018755
11,Two,2,14780,juxta,4,att,0.877295646,0.471408476,0.245408707,0.514391773
11,Two,3,17916,2D,8,def,0.340410601,0.728122443,0.386332751,0.357471522
11,Two,7,8115,juxta,8,att,0.959292545,0.722881404,0.057749517,0.305638819
11,Two,4,7536,vsum,4,def,0.475528742,0.257849442,0.4092351,0.29795503
11,Two,8,8090,juxta,8,def,0.18610232,0.487116266,0.208579858,0.393667053
11,Two,5,228165,vsum,8,def,0.20610111,0.547717182,0.178970565,0.22473045
11,Two,6,9022,vsum,4,att,0.791703393,0.450214069,0.22497135,0.303632319
11,Two,9,5368,2D,4,att,0.980826389,0.614412895,0.038347222,0.433152603
11,Two,10,14995,vsum,8,att,0.723397841,0.454462519,0.190135315,0.276248429
11,Two,11,9254,2D,8,att,0.742589636,0.503183005,0.192886887,0.378521889
11,Two,12,5615,juxta,4,def,0.092633417,0.560400197,0.185266834,0.446344884
12,Two,4,27097,2D,4,def,0.078399792,0.691972504,0.156799584,0.464895129
12,Two,3,13311,vsum,4,def,0.450202836,0.632543087,0.526171213,0.436332935
12,Two,1,16308,juxta,4,def,0.876482045,0.503644324,0.24703591,0.440995608
12,Two,2,18274,vsum,8,def,0.312601297,0.528841424,0.174889897,0.22362482
12,Two,5,26570,vsum,4,att,0.684385466,0.226180185,0.231975506,0.202020723
12,Two,6,9989,juxta,4,att,0.993651587,0.680047551,0.012696827,0.459514105
12,Two,7,13623,vsum,8,att,0.735197566,0.513240508,0.213336852,0.221064714
12,Two,8,25931,2D,8,def,0.326879822,0.33398089,0.28100176,0.351284741
12,Two,9,18636,2D,8,att,0.874495156,0.657959897,0.094058003,0.322092345
12,Two,11,9701,2D,4,att,0.984265901,0.674725731,0.031468197,0.457515489
12,Two,10,21284,juxta,8,att,0.73433249,0.393546397,0.223403172,0.379571371
12,Two,12,21443,juxta,8,def,0.092785086,0.664332922,0.096084112,0.322039671
13,Two,1,30149,vsum,8,def,0.606653911,0.909620076,0.474763022,0.093466749
13,Two,2,31899,2D,8,att,0.899008343,0.748439201,0.111451439,0.144526183
13,Two,4,20103,2D,8,def,0.11560177,0.764732004,0.131503485,0.338387023
13,Two,3,21535,vsum,8,att,0.680470325,0.523576759,0.165853176,0.216764475
13,Two,7,15264,vsum,4,att,0.648189471,0.586942681,0.472850769,0.405618197
13,Two,5,50508,juxta,4,att,0.464068407,0.073079658,0.412973701,0.099303079
13,Two,6,48006,juxta,8,def,0.130482341,0.638837884,0.126253433,0.302458334
13,Two,8,11837,2D,4,att,0.862650489,0.451844623,0.144937825,0.303046568
13,Two,9,14611,2D,4,def,0.017733841,0.652554049,0.035467683,0.446376922
13,Two,11,17449,juxta,4,def,0.419229623,0.372639607,0.024538791,0.210967413
13,Two,10,18732,vsum,4,def,0.208520406,0.545418971,0.247833475,0.412672279
14,Two,2,40798,juxta,4,def,0.281270097,0.455063771,0.324845587,0.415764852
13,Two,12,37095,juxta,8,att,0.712215447,0.449474271,0.262421724,0.34899264
14,Two,1,46348,vsum,4,att,0.746023114,0.165461192,0.196009059,0.267326603
14,Two,3,42697,vsum,4,def,0.318312767,0.146883717,0.213328773,0.176850652
14,Two,4,19651,2D,8,def,0.251131146,0.383617008,0.209850106,0.24404808
14,Two,5,30161,juxta,4,att,0.834545136,0.456397639,0.195435957,0.467518574
14,Two,6,26678,vsum,8,att,0.61142779,0.187850139,0.161868537,0.185529176
14,Two,7,16061,2D,4,def,0.23713746,0.365216318,0.175149223,0.299236188
14,Two,8,34673,juxta,8,att,0.826407338,0.506815754,0.135990551,0.294443569
14,Two,9,42000,juxta,8,def,0.113885587,0.51979759,0.121570162,0.269639989
14,Two,10,15349,2D,8,att,0.82362893,0.504028253,0.191415462,0.312474706
14,Two,11,25819,vsum,8,def,0.349358978,0.210134669,0.144300959,0.255842578
14,Two,12,9972,2D,4,att,0.83118457,0.399973669,0.202808626,0.454290812
15,Two,1,128801,juxta,8,att,0.676498189,0.168679628,0.166954591,0.223410844
15,Two,2,63006,2D,8,def,0.194813159,0.713367856,0.2117998,0.210675905
15,Two,3,45816,juxta,4,att,0.797117586,0.321347542,0.237753966,0.332207614
15,Two,4,33561,vsum,8,att,0.338242944,0.120946847,0.140761612,0.073005434
15,Two,5,38925,juxta,4,def,0.163228106,0.565240688,0.26963836,0.457088527
15,Two,6,30914,2D,8,att,0.422525967,0.115895417,0.201263097,0.116388947
15,Two,7,16122,2D,4,def,0.053275677,0.659182519,0.106551354,0.448587459
15,Two,10,18745,vsum,4,def,0.216981796,0.277327011,0.181463935,0.223696576
15,Two,8,23873,vsum,4,att,0.759043015,0.470183249,0.176825518,0.313978541
15,Two,9,69418,juxta,8,def,0.483895228,0.161725668,0.06532005,0.140056411
15,Two,11,25630,2D,4,att,0.351411073,0.108618889,0.25778426,0.102827421
16,Two,2,42973,vsum,8,def,0.326069457,0.199096809,0.138293901,0.1861027
15,Two,12,16709,vsum,8,def,0.374496252,0.126957114,0.160388453,0.09363261
16,Two,1,31298,2D,4,att,0.924277145,0.591161422,0.151445709,0.427980298
16,Two,3,7979,vsum,4,def,0.334124634,0.214881072,0.224600671,0.227529809
16,Two,5,28944,juxta,4,def,0.099501113,0.438287379,0.199002225,0.4925429
16,Two,4,24547,2D,4,def,0.512937493,0.070717244,0.409168727,0.121064403
16,Two,9,16709,2D,8,att,0.614253977,0.487945535,0.320031176,0.421127054
16,Two,6,37578,juxta,8,def,0.217054827,0.443709238,0.223081634,0.39322352
16,Two,7,17616,2D,8,def,0.42083236,0.178758274,0.196646093,0.106400986
16,Two,8,23885,vsum,4,att,0.276137722,0.375914178,0.232667784,0.313776295
16,Two,11,9483,juxta,4,att,0.535777838,0.988516693,0.53921217,0.018852674
16,Two,12,8889,juxta,8,att,0.621871415,0.520040134,0.48731259,0.353932094
17,Two,1,49171,vsum,8,def,0.210894858,0.571761837,0.167079148,0.251548476
16,Two,10,17123,vsum,8,att,0.520095394,0.59150023,0.391412968,0.43162599
17,Two,2,27173,2D,4,def,0.0473129,0.69141175,0.0946258,0.47253593
17,Two,5,42288,vsum,8,att,0.650805194,0.467192129,0.188308373,0.195033385
17,Two,3,11049,vsum,4,def,0.31766928,0.443486393,0.231561679,0.298637532
17,Two,4,96752,juxta,8,def,0.198852985,0.604324309,0.121305978,0.403017111
17,Two,6,8146,vsum,4,att,0.749739779,0.363789008,0.269754131,0.281005294
17,Two,7,19563,2D,8,att,0.847699607,0.717896856,0.115117213,0.322658398
17,Two,8,38252,2D,8,def,0.112427724,0.65107984,0.11371472,0.299503459
17,Two,9,46602,2D,4,att,0.864211951,0.450200976,0.256307135,0.501095779
17,Two,10,32520,juxta,4,def,0.102100577,0.505592849,0.16303968,0.339473224
17,Two,11,70203,juxta,8,att,0.805213363,0.50442675,0.19193992,0.359286079
17,Two,12,17318,juxta,4,att,0.891811743,0.517211848,0.216376514,0.452611594
18,Two,1,56364,vsum,8,att,0.71638318,0.429738007,0.338310824,0.331806963
18,Two,2,30231,juxta,4,def,0.045276138,0.670065862,0.090552277,0.457252958
18,Two,3,34274,juxta,8,def,0.258782519,0.433937259,0.367248067,0.424793077
18,Two,4,28365,2D,4,att,0.947373335,0.631677219,0.10525333,0.452912025
18,Two,5,20186,vsum,8,def,0.33368508,0.138490384,0.140871825,0.154873222
18,Two,6,25488,vsum,4,att,0.775911816,0.482169427,0.259373963,0.421415232
18,Two,7,28431,vsum,4,def,0.116119899,0.581508779,0.232239798,0.434634913
18,Two,8,50906,2D,8,att,0.550783507,0.555450031,0.400554914,0.41122751
18,Two,9,52927,juxta,8,att,0.910367461,0.773338569,0.103965468,0.175085697
18,Two,10,49928,2D,8,def,0.316465833,0.294162451,0.227001555,0.232441955
18,Two,11,66614,2D,4,def,0.484295262,0.223703063,0.11692275,0.141055431
18,Two,12,35481,juxta,4,att,0.753892765,0.382131695,0.288349504,0.447594162
19,Two,1,40064,juxta,8,att,0.886298765,0.692750035,0.127963433,0.320826902
19,Two,2,28541,2D,4,def,0.180088559,0.498974971,0.140324027,0.415543786
19,Two,5,19882,2D,4,att,0.862183441,0.604386,0.162273124,0.429423394
19,Two,3,63980,juxta,4,def,0.286253052,0.071790514,0.193796115,0.087172627
19,Two,4,54824,vsum,8,att,0.681643204,0.372769223,0.1753591,0.279930682
19,Two,7,40892,vsum,8,def,0.36606925,0.195622293,0.155751952,0.260234634
19,Two,6,15468,vsum,4,att,0.673873784,0.291931409,0.225814604,0.196615024
19,Two,9,27083,2D,8,def,0.154238024,0.482911377,0.135920023,0.310836115
19,Two,8,25333,2D,8,att,0.801668098,0.531382728,0.183947114,0.387072114
19,Two,10,182661,juxta,8,def,0.108654791,0.646787232,0.127209026,0.34423222
19,Two,11,36495,vsum,4,def,0.244068051,0.339242195,0.175988356,0.349119802
20,Two,2,7861,vsum,4,def,0.290923141,0.28245162,0.1981948,0.247151704
19,Two,12,35165,juxta,4,att,0.945499932,0.651655349,0.109000136,0.445029921
20,Two,1,10489,juxta,4,def,0.014202842,0.719111878,0.028405685,0.481482318
20,Two,3,16802,2D,8,att,0.93317908,0.727236304,0.06173294,0.324463984
20,Two,4,10995,2D,4,att,0.857753024,0.521525896,0.284493951,0.534616546
20,Two,5,7441,2D,8,def,0.12974815,0.633285586,0.141054714,0.309816688
20,Two,6,9720,vsum,8,def,0.294934092,0.453154655,0.168868393,0.199671337
20,Two,7,19691,2D,4,def,0.002237668,0.579676651,0.004475336,0.421262692
20,Two,8,6704,vsum,4,att,0.655529124,0.416518128,0.231149671,0.281024042
20,Two,9,11761,vsum,8,att,0.737098227,0.534518179,0.178871347,0.220361553
20,Two,10,8989,juxta,4,att,0.888099733,0.551958659,0.223800533,0.422767968
20,Two,11,16960,juxta,8,def,0.040977615,0.724588143,0.045179349,0.305851255
20,Two,12,11177,juxta,8,att,0.842241276,0.662866957,0.174774528,0.317196819
21,Two,2,8243,vsum,4,att,0.260406721,0.938263231,0.395738589,0.058159104
21,Two,1,22487,vsum,8,def,0.376301234,0.599570594,0.089570715,0.059990595
21,Two,3,11155,2D,8,att,0.554353666,0.566767851,0.162309128,0.057279
21,Two,5,9024,juxta,8,att,0.818611713,0.584397302,0.33767233,0.39016313
21,Two,6,6709,juxta,4,def,0.5,0.924595253,0.577350269,0.093386703
21,Two,4,7480,vsum,4,def,0.446342048,0.738071681,0.415814659,0.222280258
21,Two,7,6094,2D,8,def,0.807320194,0.867525678,0.249725119,0.098868078
