workerId,task,index,rt,v,u,type,size,qShort,vError,uError,correct
0,One,1,2907,0,1,vsum,4,1uav,0,0,1
0,One,2,4546,1,1,2D,8,1uav,0,0,1
0,One,3,2095,0,1,vsum,4,0u0v,0,1,0
0,One,4,2776,0.515909602,1,2D,8,0u0v,0.515909602,1,0
0,One,5,7941,0.703425521,0.6044936,juxta,4,1uav,0,0.3955064,0
0,One,6,2261,0,1,vsum,8,1uav,0,0,1
0,One,7,5631,0.743244544,0.569864417,juxta,8,0u1v,0.256755456,0.569864417,0
0,One,8,3962,0.658784152,0.500970533,juxta,4,0u0v,0.658784152,0.500970533,0
0,One,9,1164,0.598541486,1,vsum,4,0u1v,0.401458514,1,0
0,One,10,1417,0,1,vsum,8,0u0v,0,1,0
0,One,11,1921,0.803398938,0.448682106,juxta,8,0u0v,0.803398938,0.448682106,0
0,One,12,2027,0.678292471,0.603080191,juxta,8,1uav,0,0.396919809,0
0,One,13,1750,1,1,vsum,8,0u1v,0,1,0
0,One,14,2557,1,1,2D,4,0u0v,1,1,0
0,One,17,1471,0.443016483,1,2D,4,0u1v,0.556983517,1,0
0,One,15,1717,0.54290534,1,2D,4,1uav,0,0,1
0,One,16,2944,0.612713567,1,2D,8,0u1v,0.387286433,1,0
1,One,2,6711,0,0,2D,8,0u0v,0,0,1
1,One,3,6314,1,1,2D,8,1uav,0,0,1
0,One,18,9843,0.782110579,0.62446907,juxta,4,0u1v,0.217889421,0.62446907,0
1,One,1,25472,0,0,vsum,4,0u0v,0,0,1
1,One,5,6137,1,1,2D,4,1uav,0,0,1
1,One,6,16838,0,0.461971008,vsum,8,0u0v,0,0.461971008,0
1,One,4,5281,1,0,vsum,4,0u1v,0,0,1
1,One,7,12981,0,0,2D,8,0u1v,1,0,0
1,One,8,20844,1,0,juxta,8,0u1v,0,0,1
1,One,9,7842,0,1,vsum,8,1uav,0,0,1
1,One,11,23415,0.912508427,0.377916637,vsum,8,0u1v,0.087491573,0.377916637,0
1,One,13,8109,1,1,2D,4,0u1v,0,1,0
1,One,10,11971,0,0,juxta,8,0u0v,0,0,1
1,One,15,6414,0,1,juxta,4,0u0v,0,1,0
1,One,14,8678,0.856505457,0.509573295,2D,4,0u0v,0.856505457,0.509573295,0
1,One,16,4483,1,1,vsum,4,1uav,0,0,1
1,One,17,5557,1,0,juxta,4,0u1v,0,0,1
1,One,18,9869,0.364312502,1,juxta,8,1uav,0,0,1
2,One,1,22564,1,1,2D,8,1uav,0,0,1
2,One,2,11549,1,0,2D,8,0u0v,1,0,0
2,One,3,8446,1,0,2D,8,0u1v,0,0,1
2,One,4,7283,1,1,2D,4,1uav,0,0,1
