workerId,task,index,rt,v,u,type,size,qShort,vError,uError,correct
2,One,5,7863,0.34007024,1,vsum,8,1uav,0,0,1
2,One,6,7814,0.573572326,1,juxta,4,1uav,0,0,1
2,One,7,14261,0,0,juxta,4,0u0v,0,0,1
2,One,11,15841,0,1,vsum,4,0u1v,1,1,0
2,One,12,22173,1,0,juxta,8,0u1v,0,0,1
2,One,9,15728,0.52551376,1,vsum,4,1uav,0,0,1
2,One,10,19880,0.599944695,0.117093283,juxta,8,0u0v,0.599944695,0.117093283,0
2,One,13,9451,0,1,juxta,8,1uav,0,0,1
2,One,8,8333,1,0,juxta,4,0u1v,0,0,1
2,One,14,12938,0.860344729,0.46755826,vsum,8,0u1v,0.139655271,0.46755826,0
2,One,15,21694,1,1,2D,4,0u1v,0,1,0
2,One,17,7360,0,0,vsum,4,0u0v,0,0,1
3,One,1,82348,0.532424807,1,vsum,8,0u0v,0.532424807,1,0
2,One,18,5619,0,0,2D,4,0u0v,0,0,1
2,One,16,6060,0,0,vsum,8,0u0v,0,0,1
3,One,3,13640,1,1,juxta,4,0u1v,0,1,0
3,One,4,13497,0,0,2D,8,0u0v,0,0,1
3,One,5,5371,1,1,2D,4,1uav,0,0,1
3,One,2,10755,1,1,2D,4,0u0v,1,1,0
3,One,6,3719,0.64592459,1,vsum,8,1uav,0,0,1
3,One,7,7213,0,0,vsum,4,0u0v,0,0,1
3,One,8,5652,1,0,2D,4,0u1v,0,0,1
3,One,10,11094,0,0,vsum,8,0u0v,0,0,1
3,One,9,18709,0.443266294,0.212783465,juxta,4,0u1v,0.556733706,0.212783465,0
3,One,11,7447,0,0,vsum,4,0u0v,0,0,1
3,One,12,3642,0,0,2D,8,0u0v,0,0,1
3,One,14,3961,1,1,2D,8,1uav,0,0,1
3,One,15,6729,1,1,vsum,8,1uav,0,0,1
3,One,13,5017,0,1,juxta,4,1uav,0,0,1
3,One,16,4871,1,0,vsum,4,0u1v,0,0,1
3,One,17,13455,0,0,juxta,8,0u0v,0,0,1
3,One,18,15690,1,0,juxta,8,0u1v,0,0,1
4,One,2,24769,0,0,vsum,4,0u0v,0,0,1
4,One,1,22930,0.982379018,0.379506189,juxta,4,0u1v,0.017620982,0.379506189,0
4,One,4,8035,1,0,2D,8,0u1v,0,0,1
4,One,3,16516,0,0,2D,8,0u0v,0,0,1
4,One,5,16889,0,0,vsum,8,0u0v,0,0,1
4,One,6,6701,0.36579169,1,vsum,4,1uav,0,0,1
4,One,7,45813,1,0,vsum,8,0u1v,0,0,1
4,One,8,18010,0,0,2D,4,0u0v,0,0,1
4,One,9,15171,0.632991938,0.105208529,juxta,4,0u0v,0.632991938,0.105208529,0
1,One,12,12914,0,0,juxta,4,1uav,0,1,0
4,One,10,9488,1,1,juxta,8,0u1v,0,1,0
4,One,11,11062,1,1,juxta,4,1uav,0,0,1
4,One,12,5919,0.436041889,1,vsum,8,1uav,0,0,1
4,One,13,6306,1,0,2D,4,0u1v,0,0,1
4,One,17,5724,0.932985897,0.522721031,2D,8,1uav,0,0.477278969,0
4,One,14,3826,0.53608237,1,juxta,8,1uav,0,0,1
4,One,18,7147,1,0,vsum,4,0u1v,0,0,1
5,One,1,8603,0,0,vsum,4,0u0v,0,0,1
4,One,16,10008,0,0,juxta,8,0u0v,0,0,1
5,One,2,8245,1,1,2D,4,1uav,0,0,1
5,One,3,16084,1,0,2D,8,0u1v,0,0,1
5,One,4,8953,0,1,vsum,8,0u1v,1,1,0
5,One,5,5702,0,0,2D,8,0u0v,0,0,1
5,One,6,4688,0,0,2D,4,0u0v,0,0,1
5,One,7,13327,1,1,juxta,4,1uav,0,0,1
5,One,8,8995,0.055787449,0.40976792,juxta,8,0u0v,0.055787449,0.40976792,0
5,One,9,10442,1,1,vsum,4,0u1v,0,1,0
5,One,11,6155,0,0,juxta,4,0u0v,0,0,1
5,One,12,5122,0,0,vsum,8,1uav,0,1,0
5,One,10,9958,1,0,juxta,8,0u1v,0,0,1
5,One,13,6473,0.738191392,0.5693217,2D,8,1uav,0,0.4306783,0
5,One,14,2872,0,0,vsum,4,1uav,0,1,0
5,One,15,7200,0,1,vsum,8,0u0v,0,1,0
5,One,16,9193,1,1,juxta,8,1uav,0,0,1
5,One,17,5121,1,0,juxta,4,0u1v,0,0,1
5,One,18,8807,1,0,2D,4,0u1v,0,0,1
6,One,1,13975,1,0,vsum,8,1uav,0,1,0
6,One,3,28999,0,0,vsum,4,0u0v,0,0,1
6,One,2,10130,0,1,vsum,8,0u1v,1,1,0
6,One,4,12707,1,1,2D,8,1uav,0,0,1
6,One,5,44314,0,0,juxta,8,0u0v,0,0,1
6,One,7,20742,0,0,2D,4,0u0v,0,0,1
6,One,8,14016,0,1,juxta,4,1uav,0,0,1
6,One,6,13463,1,0,2D,4,0u1v,0,0,1
6,One,9,19023,1,0,juxta,4,0u1v,0,0,1
6,One,10,12000,0,0,vsum,8,0u0v,0,0,1
6,One,11,26234,1,1,2D,4,1uav,0,0,1
6,One,13,7049,0.62421989,1,juxta,8,1uav,0,0,1
6,One,12,7684,1,1,vsum,4,1uav,0,0,1
6,One,14,8166,1,0,2D,8,0u0v,1,0,0
6,One,15,9984,1,0,2D,8,0u1v,0,0,1
6,One,16,9560,1,0,vsum,4,0u1v,0,0,1
6,One,17,57844,0,0.456997374,juxta,4,0u0v,0,0.456997374,0
6,One,18,16156,1,0,juxta,8,0u1v,0,0,1
7,One,2,6993,0,1,vsum,8,0u1v,1,1,0
7,One,3,5573,1,1,vsum,4,0u0v,1,1,0
7,One,1,14041,1,0.666666667,2D,8,1uav,0,0.333333333,0
7,One,4,7188,0,1,vsum,4,0u1v,1,1,0
7,One,6,18701,1,0,juxta,4,0u1v,0,0,1
7,One,5,2995,1,1,2D,4,0u1v,0,1,0
7,One,7,7072,0.905889505,0.521753926,juxta,8,0u0v,0.905889505,0.521753926,0
7,One,9,3051,0.70181198,0.549586635,2D,8,0u1v,0.29818802,0.549586635,0
7,One,8,10441,0.909862248,0.575645036,juxta,4,1uav,0,0.424354964,0
7,One,10,1717,1,1,vsum,8,1uav,0,0,1
7,One,13,2561,1,1,2D,4,0u0v,1,1,0
7,One,11,2567,1,1,2D,4,1uav,0,0,1
7,One,12,1815,1,1,vsum,4,1uav,0,0,1
7,One,14,3617,0.971755562,0.545627742,juxta,4,0u0v,0.971755562,0.545627742,0
7,One,15,1877,0.937298749,0.480290107,juxta,8,0u1v,0.062701251,0.480290107,0
7,One,16,3136,1,0,juxta,8,1uav,0,1,0
7,One,17,1928,0,1,vsum,8,0u0v,0,1,0
7,One,18,2348,1,1,2D,8,0u0v,1,1,0
8,One,1,20410,0,0,juxta,8,0u0v,0,0,1
8,One,3,21932,1,0,juxta,8,0u1v,0,0,1
8,One,2,13404,0,1,juxta,4,1uav,0,0,1
8,One,4,43361,0,0,vsum,8,0u0v,0,0,1
8,One,5,14248,0,0,juxta,4,0u0v,0,0,1
8,One,6,45898,0,0,vsum,4,0u0v,0,0,1
8,One,8,18261,0.552856603,1,2D,4,1uav,0,0,1
8,One,7,12730,1,1,2D,8,1uav,0,0,1
8,One,9,8215,0.928741088,0.425014063,vsum,8,0u1v,0.071258912,0.425014063,0
8,One,10,24939,0,0,2D,4,0u0v,0,0,1
8,One,11,8417,0.580583474,1,vsum,4,1uav,0,0,1
8,One,12,14131,1,0,juxta,4,0u1v,0,0,1
8,One,13,4897,0,0,2D,8,0u0v,0,0,1
8,One,14,8733,1,0,2D,4,0u1v,0,0,1
8,One,15,6630,0.794320533,0.386701632,2D,8,0u1v,0.205679467,0.386701632,0
8,One,16,14231,0.538298576,0.419264365,vsum,4,0u1v,0.461701424,0.419264365,0
8,One,17,22218,0,1,juxta,8,1uav,0,0,1
9,One,1,11918,0,1,juxta,4,0u0v,0,1,0
8,One,18,9955,1,1,vsum,8,1uav,0,0,1
9,One,2,13882,0,0,2D,8,0u0v,0,0,1
9,One,3,12244,0.365823057,1,vsum,4,0u1v,0.634176943,1,0
9,One,4,6003,0.382245992,0.242415625,juxta,8,1uav,0,0.757584375,0
9,One,5,6221,0,1,juxta,4,1uav,0,0,1
9,One,6,10591,0,0,juxta,8,0u0v,0,0,1
9,One,7,9633,1,0,2D,8,0u1v,0,0,1
9,One,10,4183,1,0,2D,4,1uav,0,1,0
9,One,11,5771,0,1,vsum,4,0u0v,0,1,0
9,One,8,8132,0.732680829,0.38389559,2D,8,1uav,0,0.61610441,0
9,One,9,8881,1,0,juxta,8,0u1v,0,0,1
9,One,13,6235,0.524876966,1,juxta,4,0u1v,0.475123034,1,0
9,One,12,10218,0,0,2D,4,0u0v,0,0,1
9,One,14,15671,1,0,vsum,8,0u1v,0,0,1
9,One,15,5834,0,0,2D,4,0u1v,1,0,0
9,One,17,3671,0.556684059,1,vsum,8,0u0v,0.556684059,1,0
9,One,18,14750,1,0,vsum,4,1uav,0,1,0
10,One,1,9684,0.496391995,1,vsum,8,1uav,0,0,1
9,One,16,3593,1,0,vsum,8,1uav,0,1,0
10,One,3,6928,1,1,2D,8,1uav,0,0,1
10,One,4,12365,0.369523225,1,juxta,4,1uav,0,0,1
10,One,2,7848,0.586973035,0.237344029,juxta,8,0u0v,0.586973035,0.237344029,0
10,One,5,16344,0,0,2D,8,0u0v,0,0,1
10,One,6,12082,1,0,vsum,4,0u1v,0,0,1
10,One,8,5467,1,1,2D,4,1uav,0,0,1
10,One,9,12949,1,0,juxta,4,0u1v,0,0,1
10,One,7,21078,0,0,juxta,4,0u0v,0,0,1
10,One,10,12747,1,0,2D,8,0u1v,0,0,1
10,One,11,5890,0,0,2D,4,0u0v,0,0,1
10,One,12,8016,0,0,vsum,8,0u0v,0,0,1
10,One,13,9503,1,0,vsum,8,0u1v,0,0,1
10,One,14,8990,1,1,vsum,4,1uav,0,0,1
10,One,15,9353,0,0,vsum,4,0u0v,0,0,1
10,One,16,42046,0.565392411,0.204081208,juxta,8,0u1v,0.434607589,0.204081208,0
10,One,17,11851,1,1,juxta,8,1uav,0,0,1
11,One,1,8552,0,0,2D,4,0u0v,0,0,1
10,One,18,10606,0.135958308,0.388063815,2D,4,0u1v,0.864041692,0.388063815,0
11,One,2,17495,0,0,vsum,8,0u0v,0,0,1
11,One,3,19541,1,0,juxta,8,0u1v,0,0,1
11,One,4,10997,0,0,juxta,4,0u0v,0,0,1
11,One,5,6865,1,0,2D,4,1uav,0,1,0
11,One,6,41515,0.459926644,1,vsum,8,1uav,0,0,1
11,One,7,11117,1,1,2D,8,0u1v,0,1,0
11,One,9,6885,1,1,juxta,8,1uav,0,0,1
11,One,8,5727,1,0,vsum,4,0u1v,0,0,1
11,One,10,5702,0,1,2D,8,0u0v,0,1,0
11,One,11,11528,0,0,juxta,8,0u0v,0,0,1
11,One,12,12407,1,0,2D,4,0u1v,0,0,1
11,One,14,6549,0,1,juxta,4,1uav,0,0,1
11,One,13,29638,0.568496603,0.201345876,juxta,4,0u1v,0.431503397,0.201345876,0
11,One,15,10758,1,0,2D,8,1uav,0,1,0
11,One,16,7531,0,0,vsum,4,0u0v,0,0,1
11,One,17,3906,1,1,vsum,4,1uav,0,0,1
11,One,18,19887,1,0,vsum,8,0u1v,0,0,1
12,One,2,6282,0.731897607,0.577610429,2D,8,1uav,0,0.422389571,0
12,One,1,12925,1,0,vsum,4,1uav,0,1,0
12,One,4,8943,0,0,vsum,4,0u0v,0,0,1
12,One,3,10789,0.56340985,1,juxta,4,1uav,0,0,1
12,One,5,6557,1,0,vsum,8,1uav,0,1,0
12,One,7,5992,0,1,vsum,8,0u0v,0,1,0
12,One,6,9825,0.399434246,0.038814002,juxta,8,0u1v,0.600565754,0.038814002,0
12,One,8,8586,0.639893027,0.247462055,juxta,8,0u0v,0.639893027,0.247462055,0
12,One,9,8524,1,0,2D,4,0u1v,0,0,1
12,One,11,11126,1,0,juxta,4,0u1v,0,0,1
12,One,12,12739,0.87626675,0.600330793,2D,4,0u0v,0.87626675,0.600330793,0
12,One,10,42331,1,0,2D,4,1uav,0,1,0
12,One,13,15302,0,1,2D,8,0u0v,0,1,0
12,One,15,4770,0.370481955,1,juxta,8,1uav,0,0,1
12,One,14,10737,0,0,juxta,4,0u0v,0,0,1
12,One,16,11593,0,1,vsum,4,0u1v,1,1,0
12,One,17,7958,1,0,vsum,8,0u1v,0,0,1
12,One,18,10601,1,0,2D,8,0u1v,0,0,1
13,One,1,6099,1,1,2D,4,0u0v,1,1,0
13,One,3,8149,0,1,juxta,4,0u0v,0,1,0
13,One,2,16409,1,0.666666667,2D,8,1uav,0,0.333333333,0
13,One,4,23601,0.524280572,0.598924645,vsum,8,0u0v,0.524280572,0.598924645,0
13,One,7,8033,1,1,vsum,4,1uav,0,0,1
13,One,8,19828,1,1,vsum,8,1uav,0,0,1
13,One,6,13048,1,0,vsum,4,0u1v,0,0,1
13,One,9,10056,1,1,juxta,4,1uav,0,0,1
13,One,5,7933,1,0,vsum,8,0u1v,0,0,1
13,One,10,14579,0.498157715,1,juxta,8,0u1v,0.501842285,1,0
13,One,11,14366,1,1,juxta,4,0u1v,0,1,0
13,One,12,8974,0,0,vsum,4,0u0v,0,0,1
13,One,13,11591,0,0,2D,8,0u0v,0,0,1
13,One,14,19250,0.162711332,0.482629338,juxta,8,0u0v,0.162711332,0.482629338,0
13,One,15,5998,1,0,2D,4,0u1v,0,0,1
13,One,16,5701,0,1,juxta,8,1uav,0,0,1
13,One,17,6155,1,0,2D,8,0u1v,0,0,1
14,One,1,11623,0,1,2D,8,0u0v,0,1,0
13,One,18,6822,1,1,2D,4,1uav,0,0,1
14,One,2,9067,0.032490868,0.646216928,juxta,8,1uav,0,0.353783072,0
14,One,3,11720,0.549889791,1,vsum,4,1uav,0,0,1
14,One,4,15956,1,1,vsum,8,1uav,0,0,1
14,One,5,19832,0.370144598,1,vsum,4,0u0v,0.370144598,1,0
14,One,6,35491,0.158408899,0.403901314,juxta,4,0u0v,0.158408899,0.403901314,0
14,One,7,28650,1,1,juxta,4,0u1v,0,1,0
14,One,8,5799,0.586398357,0.010608375,juxta,4,1uav,0,0.989391625,0
14,One,9,9369,1,1,2D,4,1uav,0,0,1
14,One,10,18417,0.341993086,0.572314226,vsum,8,0u0v,0.341993086,0.572314226,0
14,One,11,6983,1,1,2D,8,1uav,0,0,1
14,One,13,16062,0.993433913,0.648533688,juxta,8,0u1v,0.006566087,0.648533688,0
14,One,14,4786,1,0,2D,4,0u1v,0,0,1
14,One,15,10278,1,1,juxta,8,1uav,0,0,1
14,One,16,4952,1,0,vsum,4,0u1v,0,0,1
14,One,12,21748,0,0,vsum,8,0u1v,1,0,0
14,One,17,8140,0,1,vsum,8,1uav,0,0,1
14,One,18,15801,0,1,juxta,4,1uav,0,0,1
15,One,2,31872,0,0,vsum,8,0u0v,0,0,1
15,One,1,20715,1,0,vsum,4,0u0v,1,0,0
15,One,3,49601,0,0,vsum,4,1uav,0,1,0
15,One,4,13815,1,0,vsum,8,0u1v,0,0,1
15,One,5,25639,0,0,2D,8,0u0v,0,0,1
15,One,6,16777,0,0,2D,4,0u0v,0,0,1
15,One,7,13971,0,1,vsum,8,1uav,0,0,1
15,One,9,18622,1,1,juxta,4,1uav,0,0,1
15,One,10,39324,1,1,juxta,4,0u1v,0,1,0
15,One,8,6873,1,1,2D,4,1uav,0,0,1
15,One,11,13767,0.496270305,0.059565759,juxta,8,1uav,0,0.940434241,0
15,One,14,8038,1,0,2D,8,0u1v,0,0,1
15,One,13,35821,0.03990899,0.60039357,juxta,8,0u0v,0.03990899,0.60039357,0
15,One,12,10532,1,0,vsum,4,0u1v,0,0,1
15,One,15,5686,1,0,2D,4,0u1v,0,0,1
16,One,1,8528,1,1,juxta,4,1uav,0,0,1
15,One,16,7254,0,0.49076028,juxta,4,0u0v,0,0.49076028,0
15,One,18,12425,0.958683641,0.453942268,juxta,8,0u1v,0.041316359,0.453942268,0
16,One,2,17749,0.58020016,1,2D,4,0u1v,0.41979984,1,0
15,One,17,10673,0.800539119,0.59043252,2D,8,1uav,0,0.40956748,0
16,One,3,47203,0.622747614,0.621799996,vsum,4,0u0v,0.622747614,0.621799996,0
16,One,4,36411,0,0,vsum,8,0u0v,0,0,1
16,One,5,8886,1,1,2D,8,1uav,0,0,1
16,One,7,10924,1,1,2D,4,1uav,0,0,1
16,One,6,11988,1,1,vsum,8,1uav,0,0,1
16,One,8,11937,1,1,juxta,8,1uav,0,0,1
16,One,9,4663,1,1,vsum,4,1uav,0,0,1
16,One,11,8727,0,0,2D,4,0u0v,0,0,1
16,One,10,7653,0,0,juxta,8,0u0v,0,0,1
16,One,12,4900,1,1,juxta,4,0u1v,0,1,0
16,One,13,20788,0.622390837,0.031347485,juxta,8,0u1v,0.377609163,0.031347485,0
16,One,14,9742,1,0,2D,8,0u1v,0,0,1
16,One,15,18029,0.80597865,0.455018094,vsum,4,0u1v,0.19402135,0.455018094,0
16,One,16,11441,0.406689167,0.516750013,vsum,8,0u1v,0.593310833,0.516750013,0
16,One,17,11809,0.284624355,0.380937522,2D,8,0u0v,0.284624355,0.380937522,0
17,One,1,10310,0,0.630195804,juxta,4,1uav,0,0.369804196,0
16,One,18,16591,0.378867071,0.180781294,juxta,4,0u0v,0.378867071,0.180781294,0
17,One,2,13119,0.597877828,1,vsum,8,1uav,0,0,1
17,One,3,17430,1,0,2D,4,0u1v,0,0,1
17,One,4,12761,1,1,2D,8,1uav,0,0,1
17,One,5,7557,0,0,2D,8,0u0v,0,0,1
17,One,6,17229,0.498132558,1,vsum,4,1uav,0,0,1
17,One,7,7819,1,0,vsum,8,0u1v,0,0,1
17,One,8,7107,0,0,vsum,4,0u0v,0,0,1
17,One,9,9789,0,0,vsum,8,0u0v,0,0,1
17,One,11,6880,1,1,2D,4,1uav,0,0,1
17,One,10,9398,1,0,2D,8,0u1v,0,0,1
17,One,12,75134,0,0,juxta,4,0u0v,0,0,1
17,One,13,8156,1,0,vsum,4,0u1v,0,0,1
17,One,14,13088,0,0,juxta,8,0u0v,0,0,1
17,One,15,19767,1,1,juxta,8,1uav,0,0,1
17,One,17,17392,1,0,juxta,4,0u1v,0,0,1
17,One,16,40964,0,0,2D,4,0u0v,0,0,1
17,One,18,52336,1,0,juxta,8,0u1v,0,0,1
18,One,1,69563,0,0,juxta,4,0u0v,0,0,1
18,One,3,45083,0.479647328,0.273909786,juxta,4,0u1v,0.520352672,0.273909786,0
18,One,2,84801,1,1,2D,4,0u1v,0,1,0
18,One,4,15742,1,1,2D,4,1uav,0,0,1
18,One,5,37614,0.504327745,1,vsum,8,1uav,0,0,1
18,One,6,59995,0.933380532,0.478644548,juxta,8,0u1v,0.066619468,0.478644548,0
18,One,7,79225,0,0,vsum,8,0u0v,0,0,1
18,One,8,38764,0.719120581,0.645378994,juxta,8,1uav,0,0.354621006,0
18,One,9,55148,0.957426282,0.471336024,juxta,8,0u0v,0.957426282,0.471336024,0
18,One,10,32953,1,1,2D,4,0u0v,1,1,0
18,One,11,64346,0.688252533,0.364012126,vsum,8,0u1v,0.311747467,0.364012126,0
18,One,12,69629,0.358525627,0.300340124,vsum,4,0u1v,0.641474373,0.300340124,0
18,One,13,18990,0,0.391586615,2D,8,0u0v,0,0.391586615,0
18,One,15,32774,0.340947764,0.529557517,vsum,4,1uav,0,0.470442483,0
18,One,16,29934,0.414361997,1,juxta,4,1uav,0,0,1
18,One,17,32426,0.890701567,0.375683195,2D,8,0u1v,0.109298433,0.375683195,0
18,One,14,25792,0.660943298,0.411905985,2D,8,1uav,0,0.588094015,0
18,One,18,19719,0,0,vsum,4,0u0v,0,0,1
19,One,2,10981,1,0,vsum,8,0u1v,0,0,1
19,One,1,44274,0,0,vsum,4,0u0v,0,0,1
19,One,3,21723,1,0,2D,8,0u1v,0,0,1
19,One,5,20185,0.461200619,1,vsum,8,1uav,0,0,1
19,One,4,13653,1,1,2D,8,1uav,0,0,1
19,One,6,13036,0,1,juxta,8,1uav,0,0,1
19,One,7,9052,0.599377661,1,vsum,4,1uav,0,0,1
19,One,8,9585,0,0,2D,8,0u0v,0,0,1
19,One,9,22439,0.496375897,0.130767105,juxta,8,0u1v,0.503624103,0.130767105,0
19,One,10,25868,0.237873664,0.369223699,2D,4,0u0v,0.237873664,0.369223699,0
19,One,11,12535,0.991592333,0.470731229,2D,4,1uav,0,0.529268771,0
19,One,12,10334,0.373479349,1,juxta,4,1uav,0,0,1
19,One,13,20245,1,0,juxta,4,0u0v,1,0,0
19,One,14,17056,1,0,vsum,4,0u1v,0,0,1
19,One,15,26808,0,0.560767314,juxta,8,0u0v,0,0.560767314,0
19,One,16,8318,0,0,vsum,8,0u0v,0,0,1
19,One,17,42020,1,0,juxta,4,0u1v,0,0,1
19,One,18,12519,1,0,2D,4,0u1v,0,0,1
20,One,1,12031,1,0,2D,8,0u1v,0,0,1
20,One,2,10314,0.449300637,1,vsum,4,1uav,0,0,1
20,One,3,11220,0.051085143,0.504096757,juxta,8,0u0v,0.051085143,0.504096757,0
20,One,4,7500,0,0,2D,4,0u0v,0,0,1
20,One,5,6419,0.413487791,1,juxta,4,1uav,0,0,1
20,One,6,9581,1,0,vsum,8,0u1v,0,0,1
20,One,8,6384,0,0,vsum,8,0u0v,0,0,1
20,One,7,7942,0,0,juxta,4,0u0v,0,0,1
20,One,9,6798,0,0,2D,8,0u0v,0,0,1
20,One,10,15446,1,0,vsum,4,0u1v,0,0,1
20,One,11,9328,1,0,2D,4,0u1v,0,0,1
20,One,12,6395,0,1,2D,4,1uav,0,0,1
20,One,13,4307,0,0,vsum,4,0u0v,0,0,1
20,One,14,15664,1,0,juxta,8,0u1v,0,0,1
20,One,15,6025,1,0,juxta,4,0u1v,0,0,1
20,One,16,4245,0.575721865,1,juxta,8,1uav,0,0,1
20,One,18,3199,0,1,vsum,8,1uav,0,0,1
20,One,17,4379,0,0.441525981,2D,8,1uav,0,0.558474019,0
21,One,1,11710,1,1,vsum,8,0u0v,1,1,0
21,One,4,8346,0,1,juxta,8,0u1v,1,1,0
21,One,2,13725,0,1,juxta,8,0u0v,0,1,0
21,One,3,5984,0,0,juxta,4,1uav,0,1,0
21,One,5,6610,0.645372547,0.524797878,vsum,4,0u0v,0.645372547,0.524797878,0
21,One,6,8008,1,1,juxta,4,0u1v,0,1,0
21,One,7,10069,0,1,2D,4,0u0v,0,1,0
21,One,8,12957,0,0,vsum,8,1uav,0,1,0
21,One,9,6916,1,1,2D,8,0u1v,0,1,0
21,One,10,9102,0.614558955,0.597836651,vsum,4,0u1v,0.385441045,0.597836651,0
21,One,11,4810,0,1,juxta,4,0u0v,0,1,0
21,One,13,3854,0,0,2D,4,1uav,0,1,0
21,One,14,5413,0,1,2D,8,0u0v,0,1,0
21,One,12,2756,0,0,vsum,4,1uav,0,1,0
21,One,15,6770,1,1,juxta,8,1uav,0,0,1
21,One,16,3709,1,0,vsum,8,0u1v,0,0,1
21,One,17,6561,0.39032533,0.51497299,2D,4,0u1v,0.60967467,0.51497299,0
21,One,18,2833,1,0,2D,8,1uav,0,1,0
22,One,2,7082,0,0,vsum,8,0u0v,0,0,1
22,One,1,7979,1,0,2D,4,0u1v,0,0,1
22,One,3,7145,0,0,vsum,4,0u0v,0,0,1
22,One,4,10358,1,1,2D,4,1uav,0,0,1
22,One,5,12108,1,0,juxta,8,0u1v,0,0,1
22,One,7,20921,1,1,vsum,8,1uav,0,0,1
22,One,6,7999,0,0,juxta,4,0u0v,0,0,1
22,One,8,8983,1,0,juxta,4,0u1v,0,0,1
22,One,10,17118,0,0,juxta,8,0u0v,0,0,1
22,One,9,6015,0,0,2D,4,0u0v,0,0,1
22,One,11,6927,1,1,2D,8,1uav,0,0,1
22,One,14,9085,1,1,juxta,8,1uav,0,0,1
22,One,13,4267,1,1,vsum,4,1uav,0,0,1
22,One,15,18770,0.47756853,0.137809825,vsum,4,0u1v,0.52243147,0.137809825,0
22,One,16,9540,0,1,2D,8,0u0v,0,1,0
22,One,12,14133,1,1,vsum,8,0u1v,0,1,0
22,One,17,12102,1,0,2D,8,0u1v,0,0,1
22,One,18,10132,1,1,juxta,4,1uav,0,0,1
23,One,2,12123,0.597251761,1,vsum,4,1uav,0,0,1
23,One,1,37605,0,0,juxta,4,0u0v,0,0,1
23,One,3,1420346,0.365399474,0.626149585,juxta,8,1uav,0,0.373850415,0
23,One,4,618530,1,0,juxta,4,0u1v,0,0,1
23,One,5,32206,1,1,2D,4,1uav,0,0,1
23,One,6,12011,1,0,vsum,8,0u1v,0,0,1
23,One,7,44599,0.928759644,0.351205219,juxta,8,0u1v,0.071240356,0.351205219,0
23,One,8,28837,0,0,vsum,4,0u0v,0,0,1
23,One,9,19726,0,0,vsum,8,0u0v,0,0,1
23,One,10,27036,1,0,2D,8,0u0v,1,0,0
23,One,11,46214,0,0,2D,4,0u0v,0,0,1
23,One,12,18981,0.372418567,1,juxta,4,1uav,0,0,1
23,One,13,9992,1,1,2D,8,1uav,0,0,1
23,One,14,7398,1,0,2D,4,0u1v,0,0,1
23,One,16,16817,1,0,2D,8,0u1v,0,0,1
23,One,15,61713,0,0,juxta,8,0u0v,0,0,1
