workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
24,One,13,14179,0.7,0.1,discrete,square,no,0.4,0.4,0.3,-0.3,-1.11E-16,0,discretesquare
24,One,10,16975,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
24,One,2,40529,0.8,0.4,discrete,square,yes,0.1,0.4,0.7,0,0.7,0,vsupdiscretesquare
23,One,16,7926,0.3,0.6,discrete,arc,no,0.4,0.4,-0.1,0.2,0.1,0,discretearc
24,One,14,44627,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
24,One,16,5305,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
24,One,9,20595,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
24,One,12,4391,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
24,One,15,13914,0.3,0.6,discrete,square,no,0.4,0.8,-0.1,-0.2,-0.3,0,discretesquare
22,One,8,6026,0.3,0.6,discrete,arc,no,0.7,0.4,-0.4,0.2,-0.2,0,discretearc
24,One,5,19353,0.95,0.1,discrete,arc,yes,0.7,0.1,0.25,0,0.25,0,vsupdiscretearc
17,One,15,11443,0.45,0.1,discrete,square,no,0.45,0.1,0,0,0,1,discretesquare
