HitId,WorkerId,Status,AcceptTime,SubmitTime,Experiment,Education,Gender,GraphFamiliarity,Age,risk1,risk2,risk3,risk4,risk5,risk6,riskAversion
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A1PTH9KTRO06EG,Approved,Thu Sep 14 15:38:42 PDT 2017,Thu Sep 14 15:51:27 PDT 2017,Exp1,College degree,Male,2,22,2,4,4,3,-5,2,10
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A1HKCTDOTL6C9I,Approved,Thu Sep 14 15:38:42 PDT 2017,Thu Sep 14 16:19:12 PDT 2017,Exp1,College degree,Male,2,41,2,5,5,4,-6,3,13
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A183WYXN12P2TJ,Approved,Thu Sep 14 15:38:42 PDT 2017,Thu Sep 14 17:11:30 PDT 2017,Exp1,College degree,Male,2,36,-2,6,6,5,6,5,26
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A1727A5VJOZAMR,Approved,Thu Sep 14 15:38:41 PDT 2017,Thu Sep 14 17:13:36 PDT 2017,Exp1,High school degree,Female,0,41,5,6,5,7,-6,4,21
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A3PYFNAED6X1BL,Approved,Thu Sep 14 16:55:05 PDT 2017,Thu Sep 14 17:14:25 PDT 2017,Exp1,Graduate degree,Female,3,28,-6,2,3,2,2,2,5
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A4J4GGMKJ68L0,Approved,Thu Sep 14 15:38:41 PDT 2017,Thu Sep 14 17:22:24 PDT 2017,Exp1,College degree,Male,2,25,-7,1,1,4,4,1,4
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A3OW5EFQ5QFD19,Approved,Thu Sep 14 16:26:15 PDT 2017,Thu Sep 14 17:50:55 PDT 2017,Exp1,College degree,Female,4,29,-4,7,6,7,7,5,28
3SBX2M1TKDO3SIMF7NXCEN70XSBQ47,A2CF2BD4Q0ZDJN,Approved,Thu Sep 14 17:29:42 PDT 2017,Thu Sep 14 18:03:17 PDT 2017,Exp1,College degree,Male,2,55,-3,5,6,6,5,5,24
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A1NM7ZPZ3NH412,Approved,Fri Sep 15 07:11:57 PDT 2017,Fri Sep 15 07:28:50 PDT 2017,Exp1,College degree,Female,2,29,-4,5,5,5,5,5,21
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A5EU1AQJNC7F2,Approved,Fri Sep 15 07:13:12 PDT 2017,Fri Sep 15 07:41:26 PDT 2017,Exp1,College degree,Female,1,29,-1,7,6,6,7,6,31
