workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
11,One,60,6016,0.95,0.1,continuous,square,no,0.95,0.1,0,0,0,1,continuoussquare
11,One,59,6256,0.45,0.1,continuous,arc,no,0.45,0.1,0,0,0,1,continuousarc
11,One,63,7451,0.4,0.4,continuous,arc,no,0.4,0.4,0,0,0,1,continuousarc
11,One,64,8672,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
11,One,62,9422,0.2,0.1,continuous,arc,no,0.2,0.1,0,0,0,1,continuousarc
12,One,1,29152,0.8,0.6,continuous,arc,no,0.8,0.4,0,0.2,0.2,0,continuousarc
12,One,2,25426,0.8,0.4,continuous,square,no,0.95,0.1,-0.15,0.3,0.15,0,continuoussquare
12,One,4,23373,0.7,0.1,continuous,square,no,0.7,0.1,0,0,0,1,continuoussquare
12,One,3,32794,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
11,One,61,9017,0.8,0.4,discrete,juxtaposed,no,0.8,0.4,0,0,0,1,discretejuxtaposed
12,One,8,34046,0.8,0.4,discrete,arc,no,0.8,0.4,0,0,0,1,discretearc
12,One,6,13068,0.2,0.1,discrete,arc,no,0.2,0.1,0,0,0,1,discretearc
12,One,7,19223,0.95,0.1,discrete,juxtaposed,no,0.95,0.1,0,0,0,1,discretejuxtaposed
12,One,10,38847,0.7,0.4,discrete,arc,yes,0.8,0.6,-0.1,-0.2,-0.3,0,vsupdiscretearc
12,One,12,43500,0.8,0.6,continuous,arc,no,0.8,0.6,0,0,0,1,continuousarc
12,One,11,53251,0.4,0.4,continuous,juxtaposed,no,0.4,0.4,0,0,0,1,continuousjuxtaposed
12,One,14,39480,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
12,One,17,29010,0.3,0.6,continuous,juxtaposed,no,0.3,0.6,0,0,0,1,continuousjuxtaposed
12,One,13,18147,0.4,0.8,discrete,juxtaposed,no,0.4,0.8,0,0,0,1,discretejuxtaposed
12,One,5,12409,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
12,One,15,24696,0.7,0.4,continuous,square,no,0.7,0.4,0,0,0,1,continuoussquare
12,One,9,19576,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
12,One,19,45282,0.4,0.4,continuous,arc,no,0.4,0.4,0,0,0,1,continuousarc
12,One,16,15041,0.2,0.1,discrete,juxtaposed,no,0.2,0.1,0,0,0,1,discretejuxtaposed
12,One,22,24778,0.4,0.8,continuous,juxtaposed,no,0.4,0.8,0,0,0,1,continuousjuxtaposed
12,One,23,15030,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
12,One,21,35099,0.4,0.8,discrete,juxtaposed,no,0.4,0.8,0,0,0,1,discretejuxtaposed
12,One,24,35586,0.3,0.6,discrete,juxtaposed,no,0.3,0.6,0,0,0,1,discretejuxtaposed
12,One,18,28487,0.45,0.1,discrete,juxtaposed,no,0.45,0.1,0,0,0,1,discretejuxtaposed
12,One,20,11017,0.1,0.4,discrete,arc,yes,0.1,0.4,0,0,0,1,vsupdiscretearc
12,One,25,19076,0.7,0.4,continuous,square,no,0.7,0.4,0,0,0,1,continuoussquare
12,One,26,5664,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
12,One,30,30925,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
12,One,32,25210,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
12,One,33,18514,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
12,One,28,28123,0.45,0.1,continuous,square,no,0.45,0.1,0,0,0,1,continuoussquare
12,One,27,37189,0.8,0.6,continuous,juxtaposed,no,0.8,0.6,0,0,0,1,continuousjuxtaposed
12,One,36,24595,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
12,One,37,45165,0.3,0.6,discrete,arc,no,0.3,0.6,0,0,0,1,discretearc
12,One,35,13681,0.8,0.4,discrete,arc,no,0.8,0.4,0,0,0,1,discretearc
12,One,34,22770,0.1,0.4,continuous,arc,no,0.1,0.4,0,0,0,1,continuousarc
12,One,40,18731,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
12,One,41,17553,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
12,One,38,21105,0.3,0.6,continuous,square,no,0.4,0.4,-0.1,0.2,0.1,0,continuoussquare
12,One,43,18816,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
12,One,31,16296,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
12,One,46,36913,0.4,0.8,continuous,arc,no,0.4,0.8,0,0,0,1,continuousarc
12,One,42,34506,0.3,0.6,continuous,arc,no,0.4,0.4,-0.1,0.2,0.1,0,continuousarc
12,One,39,27503,0.3,0.6,continuous,square,no,0.3,0.6,0,0,0,1,continuoussquare
12,One,48,45831,0.45,0.1,continuous,arc,no,0.45,0.1,0,0,0,1,continuousarc
12,One,47,21421,0.4,0.8,continuous,juxtaposed,no,0.4,0.8,0,0,0,1,continuousjuxtaposed
12,One,52,17493,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
12,One,50,18978,0.7,0.4,continuous,arc,no,0.7,0.4,0,0,0,1,continuousarc
