workerId,task,index,rt,type,size,ramp,role,Vs,Us,meanV,meanU,stdV,stdU
1,Two,12,7949,juxta,4,Lightness,def,Array,Array,0.093450684371111,0.56579305881325,0.18690136874222,0.42047810349665
2,Two,1,23843,2D,4,Lightness,def,Array,Array,0.086093249269473,0.48776381362442,0.17218649853895,0.49057082369857
2,Two,3,15686,juxta,4,Lightness,def,Array,Array,0.011284859210646,0.55587207784924,0.022569718421292,0.42116191215037
2,Two,4,19987,vsup,4,Lightness,att,Array,Array,0.60507084545517,0.19902979845027,0.27005245683301,0.27329377615131
2,Two,5,18488,juxta,8,Lightness,att,Array,Array,0.90939961848912,0.85735652803875,0.061930931456562,0.15121235560897
2,Two,6,11546,2D,4,Lightness,att,Array,Array,0.8730263446667,0.62616246702604,0.25394731066659,0.45693417746301
2,Two,7,7671,juxta,4,Lightness,att,Array,Array,0.98893472927811,0.68485047485455,0.022130541443784,0.4680805866359
2,Two,8,10538,juxta,8,Lightness,def,Array,Array,0.18834801583588,0.47799245706959,0.16979230337327,0.43160731426516
1,Two,11,16061,juxta,8,Lightness,def,Array,Array,0.2003564177146,0.58299395714701,0.22429108350891,0.28914863700119
2,Two,10,14587,vsup,8,Lightness,def,Array,Array,0.34314165771928,0.25422726020401,0.15296134503862,0.2508626713631
2,Two,11,12571,2D,8,Lightness,att,Array,Array,0.84099322928841,0.6050737464691,0.12343846544886,0.28497444342622
3,Two,1,20786,juxta,4,Lightness,def,Array,Array,0.046925621787919,0.59147386218652,0.093851243575838,0.4255025363911
2,Two,9,9425,vsup,4,Lightness,def,Array,Array,0.21895971888194,0.41844173441259,0.25285678913733,0.31091217328215
2,Two,12,10650,vsup,8,Lightness,att,Array,Array,0.72994214192058,0.51360783648375,0.20622312419032,0.211403828827
3,Two,2,9094,2D,4,Lightness,def,Array,Array,0.31968642024464,0.11518159849875,0.23006432043075,0.079019182325032
3,Two,4,10908,2D,8,Lightness,def,Array,Array,0.43867046385116,0.12454332686808,0.19803611467553,0.099464448180479
3,Two,3,12865,juxta,8,Lightness,att,Array,Array,0.82151895394695,0.52507716352221,0.19846137223355,0.34236550650732
3,Two,5,34653,2D,8,Lightness,att,Array,Array,0.59336175599033,0.15778352289292,0.17090528806623,0.084943938314108
3,Two,6,12235,vsup,8,Lightness,def,Array,Array,0.37112759866363,0.097437316902662,0.15398169625063,0.070414398188482
3,Two,7,12318,vsup,4,Lightness,att,Array,Array,0.58703676147783,0.1887669566842,0.2764494942863,0.17465544981788
3,Two,8,8765,vsup,4,Lightness,def,Array,Array,0.31224213736481,0.13352330462698,0.21414889656044,0.11637659580881
3,Two,9,5428,juxta,4,Lightness,att,Array,Array,0.96463543577449,0.60221895659896,0.070729128451018,0.44092550312056
3,Two,11,21642,vsup,8,Lightness,att,Array,Array,0.5085755886624,0.11923074785259,0.21950623466627,0.087787296777854
3,Two,12,10333,juxta,8,Lightness,def,Array,Array,0.084662285370464,0.69982802685923,0.096114902346299,0.3418207192825
4,Two,1,49041,2D,8,Lightness,def,Array,Array,0.26695624699736,0.478715575203,0.14084039434912,0.21900358519661
3,Two,10,6331,2D,4,Lightness,att,Array,Array,0.61104359744989,0.10716045432355,0.2593059980597,0.078864238067606
4,Two,2,23552,2D,8,Lightness,att,Array,Array,0.74448914318997,0.42054916247154,0.20400673051769,0.30740320429639
4,Two,3,32727,juxta,8,Lightness,def,Array,Array,0.10930556305923,0.78703991702182,0.11743582536122,0.33255997179361
4,Two,4,6930,juxta,4,Lightness,att,Array,Array,0.96193073206382,0.86976767579485,0.045964744846522,0.14142316867741
4,Two,5,13595,vsup,4,Lightness,att,Array,Array,0.7938969740031,0.45863019285301,0.23358188568199,0.31514422021014
4,Two,7,10916,vsup,4,Lightness,def,Array,Array,0.59308451866242,0.63238355618374,0.49384162667995,0.44451007957667
4,Two,6,10766,juxta,4,Lightness,def,Array,Array,0.0094167795759555,0.58349382205135,0.018833559151911,0.42917170866846
4,Two,8,27981,vsup,8,Lightness,att,Array,Array,0.72679623792202,0.53856929556855,0.15711600267187,0.22509894977706
4,Two,9,10388,juxta,8,Lightness,att,Array,Array,0.93107892072094,0.65554393990667,0.064394685319664,0.31059028166998
4,Two,10,6599,2D,4,Lightness,def,Array,Array,0.1583189515834,0.44858523086536,0.18324047705663,0.49874624686589
4,Two,11,10795,vsup,8,Lightness,def,Array,Array,0.29656207289973,0.60310692668357,0.24979259668059,0.28239820303614
4,Two,12,10481,2D,4,Lightness,att,Array,Array,0.93271971165275,0.7185028025478,0.13456057669449,0.48025620931184
5,Two,1,35231,juxta,8,Lightness,att,Array,Array,0.93009826312301,0.68185910524542,0.064226841937618,0.29500030190105
5,Two,2,23563,juxta,8,Lightness,def,Array,Array,0.17692712558544,0.56776396757549,0.16863079361186,0.30559789913338
5,Two,3,13490,vsup,4,Lightness,def,Array,Array,0.15630402537396,0.4830909487191,0.22391392905351,0.33274322560156
5,Two,4,12798,vsup,8,Lightness,def,Array,Array,0.3032517523714,0.50751605267201,0.15030355651412,0.21848022298079
5,Two,6,6017,2D,4,Lightness,def,Array,Array,0.38836252273713,0.069535033278778,0.26959279557294,0.10675219611103
5,Two,5,22271,juxta,4,Lightness,def,Array,Array,0.092953697054,0.44677937254492,0.185907394108,0.50923800288399
5,Two,7,10850,vsup,4,Lightness,att,Array,Array,0.66809459408387,0.20039154100908,0.22145214994957,0.22289063697121
5,Two,8,8616,2D,8,Lightness,def,Array,Array,0.13350208829567,0.55411553883356,0.11451870714995,0.28288602301953
5,Two,9,7600,juxta,4,Lightness,att,Array,Array,0.7444492736539,0.4280779909821,0.49640986898041,0.49436024298636
5,Two,11,5849,vsup,8,Lightness,att,Array,Array,0.71929240452692,0.51571041074441,0.19151121619052,0.22066313361419
5,Two,10,10351,2D,4,Lightness,att,Array,Array,0.99792921884389,0.67063909741205,0.0041415623122274,0.45978092782445
5,Two,12,5900,2D,8,Lightness,att,Array,Array,0.89708249858871,0.66339603059395,0.10178105909521,0.30640814393336
6,Two,2,143935,juxta,8,Lightness,def,Array,Array,0.30691443059908,0.27094832644474,0.15671772193674,0.29187047508128
6,Two,3,58955,2D,8,Lightness,def,Array,Array,0.34401714590174,0.25117770113177,0.24207288865025,0.21316885466093
6,Two,1,108903,vsup,8,Lightness,def,Array,Array,0.33224097651843,0.10414827190104,0.13965835907854,0.12339935020608
6,Two,4,66311,juxta,4,Lightness,att,Array,Array,0.81031507736355,0.47153376454019,0.22002986039833,0.31787155348842
6,Two,5,22323,juxta,4,Lightness,def,Array,Array,0.11188253863524,0.57742042258539,0.22376507727048,0.43927221005355
6,Two,6,30429,vsup,4,Lightness,def,Array,Array,0.34472376479925,0.30661675016801,0.23401127989285,0.32439005415381
6,Two,7,25984,2D,4,Lightness,def,Array,Array,0.36229710042802,0.26992427848287,0.25006364996514,0.25226131061112
6,Two,8,49900,2D,4,Lightness,att,Array,Array,0.58930871419442,0.16945078414604,0.28878400316341,0.21360082706389
6,Two,11,29252,2D,8,Lightness,att,Array,Array,0.59206775030047,0.17905278838053,0.27577968794241,0.17050970063848
6,Two,9,89065,juxta,8,Lightness,att,Array,Array,0.72373320418646,0.35617137733509,0.17513913602878,0.31719729427867
6,Two,12,15071,vsup,4,Lightness,att,Array,Array,0.78557118965912,0.36040783552257,0.23030135814119,0.25579653042215
6,Two,10,48600,vsup,8,Lightness,att,Array,Array,0.63611197907587,0.24072589175695,0.15649931213525,0.14952460608313
7,Two,1,75072,2D,8,Lightness,def,Array,Array,0.22547455256534,0.51689599356945,0.19761132990349,0.38567832696273
7,Two,2,17525,juxta,8,Lightness,att,Array,Array,0.96089873815182,0.75721062058421,0.04690137061837,0.32868386387539
7,Two,3,9777,juxta,4,Lightness,def,Array,Array,0.08686546977612,0.57946208638998,0.17373093955224,0.42424259943609
7,Two,4,7271,2D,4,Lightness,att,Array,Array,0.85697711479606,0.60267576626845,0.12919965033988,0.42458471471112
7,Two,5,13129,2D,8,Lightness,att,Array,Array,0.85376207109097,0.67856846896448,0.12966772512556,0.31521512529853
7,Two,6,22989,juxta,8,Lightness,def,Array,Array,0.044405401914559,0.68529435746752,0.078265602519416,0.3191735609824
7,Two,7,32783,vsup,8,Lightness,att,Array,Array,0.54995781675366,0.11755108193308,0.20254565285905,0.091624845336959
7,Two,8,8332,vsup,4,Lightness,def,Array,Array,0.30131080101388,0.43254396421247,0.20694058919808,0.29241678297789
7,Two,9,14686,2D,4,Lightness,def,Array,Array,0.13153764063882,0.45579831283527,0.26307528127763,0.50864867351261
7,Two,10,18455,vsup,8,Lightness,def,Array,Array,0.33598498058274,0.10275703880432,0.14355896739802,0.057466881561462
7,Two,11,8842,vsup,4,Lightness,att,Array,Array,0.67468948143624,0.18856739570703,0.22618925535715,0.22008360149611
7,Two,12,8243,juxta,4,Lightness,att,Array,Array,0.96001113741836,0.54542968686495,0.067596074862736,0.3696645091071
8,Two,1,34596,2D,4,Lightness,att,Array,Array,0.85729968682255,0.52783702293676,0.2854006263549,0.46126209458166
8,Two,2,12437,juxta,4,Lightness,def,Array,Array,0.086621270706462,0.557767200455,0.17324254141292,0.42639227450231
8,Two,3,28665,2D,4,Lightness,def,Array,Array,0.020708236561293,0.6587363396863,0.041416473122587,0.46826008021671
8,Two,4,31085,2D,8,Lightness,att,Array,Array,0.87607510346961,0.60426819783185,0.1169103459169,0.30932937278154
8,Two,5,29697,vsup,8,Lightness,def,Array,Array,0.3690311610826,0.11789357344457,0.15441274931327,0.092860903177515
8,Two,6,12230,2D,8,Lightness,def,Array,Array,0.13077830170037,0.59995118707719,0.11304863199288,0.27238228715063
8,Two,7,29235,vsup,8,Lightness,att,Array,Array,0.68824386029855,0.46845221619074,0.16919348505428,0.2141408704735
8,Two,8,43252,juxta,8,Lightness,att,Array,Array,0.95528097252062,0.69410041305673,0.045165931647503,0.3162539678757
8,Two,9,11940,vsup,4,Lightness,att,Array,Array,0.67817365423916,0.32348820513223,0.21573763307864,0.24170572376829
8,Two,11,25679,juxta,8,Lightness,def,Array,Array,0.16360510182013,0.44436735190083,0.18311578927832,0.38486747907391
8,Two,10,44530,juxta,4,Lightness,att,Array,Array,0.80334739762092,0.30188793726854,0.22781155122184,0.3212004403085
8,Two,12,15508,vsup,4,Lightness,def,Array,Array,0.30620732558023,0.21108762907681,0.20595641277861,0.1833057658995
9,Two,1,11650,vsup,4,Lightness,att,Array,Array,0.76415732230797,0.45223097927778,0.27324944863744,0.31736062573728
9,Two,2,16386,vsup,8,Lightness,att,Array,Array,0.73190885148696,0.53124624894815,0.1767358300991,0.22472098772435
9,Two,3,44411,juxta,4,Lightness,def,Array,Array,0.019711143022957,0.60951419389339,0.039422286045914,0.42787833105344
9,Two,4,13856,2D,8,Lightness,def,Array,Array,0.11752044548322,0.72525441376858,0.11120524019608,0.32820419975022
9,Two,5,10992,2D,4,Lightness,def,Array,Array,0.12832241832937,0.53555274479926,0.25664483665875,0.47743285735598
9,Two,7,9568,2D,8,Lightness,att,Array,Array,0.92353854547757,0.61988892140811,0.095776995369765,0.28037365024041
9,Two,6,24381,vsup,4,Lightness,def,Array,Array,0.10386442308286,0.53539530172897,0.16395588864592,0.41089739738945
9,Two,8,17099,juxta,8,Lightness,att,Array,Array,0.9617335040402,0.74752067381334,0.043757549221609,0.32846324260307
9,Two,9,7604,2D,4,Lightness,att,Array,Array,0.95071887144284,0.84311965413049,0.057231526687389,0.14028248899788
9,Two,10,23577,vsup,8,Lightness,def,Array,Array,0.65453564865806,0.42631785088666,0.16690652292407,0.25098350000882
9,Two,11,3658,juxta,4,Lightness,att,Array,Array,0.93344449315113,0.62568017244933,0.13311101369774,0.43921509472819
10,Two,1,33558,2D,4,Lightness,att,Array,Array,0.5960201070492,0.14079589471091,0.27540982109435,0.15549893239886
10,Two,2,36705,vsup,8,Lightness,att,Array,Array,0.66472033683373,0.25641946251423,0.1372090320356,0.16929636075798
9,Two,12,12900,juxta,8,Lightness,def,Array,Array,0.17377264731473,0.55922020117287,0.26267338954092,0.41045138870968
10,Two,5,120957,juxta,8,Lightness,def,Array,Array,0.26875176049557,0.23086479328666,0.18708805925856,0.27356221780918
10,Two,7,23427,vsup,4,Lightness,att,Array,Array,0.7664001395489,0.29233778769507,0.23997903353905,0.3123384878886
10,Two,6,27223,2D,4,Lightness,def,Array,Array,0.21030969268248,0.40708473129094,0.30899214828601,0.45000335581158
10,Two,4,27637,juxta,4,Lightness,def,Array,Array,0.066156640405838,0.93767959955393,0.13017404196559,0.042728603494715
10,Two,3,60004,juxta,4,Lightness,att,Array,Array,0.88161901314439,0.60562594437793,0.23676197371121,0.47236054701484
10,Two,8,54360,vsup,8,Lightness,def,Array,Array,0.34199721645226,0.090420631873829,0.14580299631031,0.068029516633677
10,Two,9,22012,2D,8,Lightness,def,Array,Array,0.41840291110644,0.14510898777293,0.20310118728935,0.12410514839985
10,Two,10,13214,vsup,4,Lightness,def,Array,Array,0.33524351963609,0.23940301648923,0.22768223128146,0.21075918111934
10,Two,12,16494,2D,8,Lightness,att,Array,Array,0.41485313693845,0.14924047204625,0.17932506635299,0.10063370870306
10,Two,11,115572,juxta,8,Lightness,att,Array,Array,0.33636191830977,0.14824752418137,0.14380226958324,0.10843316140686
11,Two,1,33490,2D,4,Lightness,def,Array,Array,0.36964605365663,0.16076707336325,0.2699646234094,0.17501875502629
11,Two,2,14780,juxta,4,Lightness,att,Array,Array,0.87729564638829,0.47140847631293,0.24540870722342,0.51439177305799
11,Two,3,17916,2D,8,Lightness,def,Array,Array,0.34041060126421,0.72812244314846,0.38633275058118,0.35747152236556
11,Two,7,8115,juxta,8,Lightness,att,Array,Array,0.95929254548888,0.72288140421894,0.057749517369393,0.30563881892762
11,Two,4,7536,vsup,4,Lightness,def,Array,Array,0.47552874189621,0.25784944190103,0.40923510010473,0.29795502983479
11,Two,8,8090,juxta,8,Lightness,def,Array,Array,0.18610231995314,0.48711626552466,0.208579858063,0.39366705251578
11,Two,5,228165,vsup,8,Lightness,def,Array,Array,0.20610110995466,0.54771718190881,0.1789705651309,0.22473045049759
11,Two,6,9022,vsup,4,Lightness,att,Array,Array,0.79170339254329,0.4502140691137,0.22497134950105,0.30363231899005
11,Two,9,5368,2D,4,Lightness,att,Array,Array,0.98082638894182,0.61441289549456,0.038347222116367,0.43315260272166
11,Two,10,14995,vsup,8,Lightness,att,Array,Array,0.72339784133392,0.45446251944121,0.1901353145161,0.27624842940521
11,Two,11,9254,2D,8,Lightness,att,Array,Array,0.74258963627227,0.50318300481195,0.19288688676176,0.37852188874795
11,Two,12,5615,juxta,4,Lightness,def,Array,Array,0.092633417032228,0.56040019679462,0.18526683406446,0.44634488420092
12,Two,4,27097,2D,4,Lightness,def,Array,Array,0.078399792206819,0.69197250441302,0.15679958441364,0.46489512866983
12,Two,3,13311,vsup,4,Lightness,def,Array,Array,0.45020283619647,0.63254308696298,0.52617121264863,0.43633293492249
12,Two,1,16308,juxta,4,Lightness,def,Array,Array,0.87648204492841,0.50364432371188,0.24703591014319,0.44099560829307
12,Two,2,18274,vsup,8,Lightness,def,Array,Array,0.3126012972196,0.5288414237601,0.17488989688101,0.22362481959251
12,Two,5,26570,vsup,4,Lightness,att,Array,Array,0.68438546630225,0.22618018467819,0.23197550649975,0.20202072340481
12,Two,6,9989,juxta,4,Lightness,att,Array,Array,0.99365158673865,0.6800475509663,0.0126968265227,0.45951410456086
12,Two,7,13623,vsup,8,Lightness,att,Array,Array,0.73519756556053,0.51324050757888,0.21333685197322,0.22106471365832
12,Two,8,25931,2D,8,Lightness,def,Array,Array,0.3268798216225,0.33398088950316,0.28100176034379,0.35128474075657
12,Two,9,18636,2D,8,Lightness,att,Array,Array,0.87449515615473,0.65795989684897,0.094058003091474,0.32209234524453
12,Two,11,9701,2D,4,Lightness,att,Array,Array,0.98426590142647,0.67472573144599,0.03146819714706,0.45751548860581
12,Two,10,21284,juxta,8,Lightness,att,Array,Array,0.7343324900163,0.39354639715184,0.22340317174997,0.37957137083694
12,Two,12,21443,juxta,8,Lightness,def,Array,Array,0.092785085880377,0.6643329219846,0.096084112255426,0.3220396709697
13,Two,1,30149,vsup,8,Lightness,def,Array,Array,0.60665391059701,0.90962007635928,0.47476302239432,0.093466748805458
13,Two,2,31899,2D,8,Lightness,att,Array,Array,0.8990083431146,0.74843920077369,0.1114514394569,0.14452618304553
13,Two,4,20103,2D,8,Lightness,def,Array,Array,0.1156017695389,0.76473200390187,0.13150348467485,0.33838702307889
13,Two,3,21535,vsup,8,Lightness,att,Array,Array,0.68047032530742,0.52357675897897,0.16585317558167,0.21676447536414
13,Two,7,15264,vsup,4,Lightness,att,Array,Array,0.6481894708782,0.58694268050741,0.47285076850846,0.40561819722512
13,Two,5,50508,juxta,4,Lightness,att,Array,Array,0.46406840664815,0.073079658097384,0.41297370079944,0.099303079184366
13,Two,6,48006,juxta,8,Lightness,def,Array,Array,0.13048234142847,0.63883788394205,0.12625343338824,0.30245833440812
13,Two,8,11837,2D,4,Lightness,att,Array,Array,0.86265048850232,0.45184462291404,0.14493782467918,0.30304656835722
13,Two,9,14611,2D,4,Lightness,def,Array,Array,0.017733841379897,0.65255404921343,0.035467682759795,0.44637692204086
13,Two,11,17449,juxta,4,Lightness,def,Array,Array,0.41922962318684,0.37263960715143,0.024538790532605,0.21096741264032
13,Two,10,18732,vsup,4,Lightness,def,Array,Array,0.20852040578786,0.54541897149565,0.2478334745258,0.41267227939991
14,Two,2,40798,juxta,4,Lightness,def,Array,Array,0.28127009717969,0.45506377050737,0.32484558679924,0.41576485230763
13,Two,12,37095,juxta,8,Lightness,att,Array,Array,0.71221544679278,0.44947427131701,0.26242172350186,0.34899263971912
14,Two,1,46348,vsup,4,Lightness,att,Array,Array,0.7460231142042,0.16546119242463,0.19600905901528,0.26732660287789
14,Two,3,42697,vsup,4,Lightness,def,Array,Array,0.31831276654458,0.14688371703517,0.21332877349441,0.1768506516372
14,Two,4,19651,2D,8,Lightness,def,Array,Array,0.2511311456674,0.38361700798937,0.20985010620613,0.24404808030588
14,Two,5,30161,juxta,4,Lightness,att,Array,Array,0.834545135729,0.45639763875767,0.19543595743548,0.46751857428132
14,Two,6,26678,vsup,8,Lightness,att,Array,Array,0.61142779008366,0.18785013946344,0.16186853731151,0.18552917585565
14,Two,7,16061,2D,4,Lightness,def,Array,Array,0.23713746039684,0.36521631808194,0.17514922267221,0.29923618790705
14,Two,8,34673,juxta,8,Lightness,att,Array,Array,0.82640733757585,0.50681575426996,0.13599055080321,0.29444356910341
14,Two,9,42000,juxta,8,Lightness,def,Array,Array,0.11388558661295,0.51979759033381,0.12157016156857,0.26963998934957
14,Two,10,15349,2D,8,Lightness,att,Array,Array,0.82362892990335,0.50402825302352,0.19141546245482,0.31247470601742
14,Two,11,25819,vsup,8,Lightness,def,Array,Array,0.34935897838271,0.21013466931068,0.14430095903642,0.25584257817581
14,Two,12,9972,2D,4,Lightness,att,Array,Array,0.831184569985,0.399973669429,0.20280862564173,0.45429081188214
15,Two,1,128801,juxta,8,Lightness,att,Array,Array,0.67649818904729,0.16867962829148,0.16695459102727,0.22341084430174
15,Two,2,63006,2D,8,Lightness,def,Array,Array,0.19481315879101,0.71336785606469,0.21179979997745,0.21067590523936
15,Two,3,45816,juxta,4,Lightness,att,Array,Array,0.79711758624389,0.32134754204112,0.23775396567267,0.33220761370668
15,Two,4,33561,vsup,8,Lightness,att,Array,Array,0.33824294437085,0.12094684707389,0.14076161166017,0.073005433501251
15,Two,5,38925,juxta,4,Lightness,def,Array,Array,0.16322810621186,0.56524068780861,0.26963836044129,0.45708852694497
15,Two,6,30914,2D,8,Lightness,att,Array,Array,0.42252596664444,0.11589541659244,0.20126309711594,0.1163889470326
15,Two,7,16122,2D,4,Lightness,def,Array,Array,0.053275677094826,0.65918251918114,0.10655135418965,0.44858745946137
15,Two,10,18745,vsup,4,Lightness,def,Array,Array,0.21698179608657,0.27732701088351,0.18146393465234,0.22369657601578
15,Two,8,23873,vsup,4,Lightness,att,Array,Array,0.75904301527751,0.47018324946955,0.17682551802644,0.31397854121658
15,Two,9,69418,juxta,8,Lightness,def,Array,Array,0.48389522777632,0.16172566798835,0.065320050123387,0.14005641123169
15,Two,11,25630,2D,4,Lightness,att,Array,Array,0.35141107284849,0.1086188891417,0.25778426014495,0.10282742148035
16,Two,2,42973,vsup,8,Lightness,def,Array,Array,0.32606945695609,0.19909680902559,0.1382939010134,0.18610269963088
15,Two,12,16709,vsup,8,Lightness,def,Array,Array,0.37449625151729,0.12695711417669,0.16038845294852,0.093632610437137
16,Two,1,31298,2D,4,Lightness,att,Array,Array,0.92427714534885,0.59116142240727,0.1514457093023,0.42798029751182
16,Two,3,7979,vsup,4,Lightness,def,Array,Array,0.33412463383511,0.214881072371,0.22460067123376,0.22752980914889
16,Two,5,28944,juxta,4,Lightness,def,Array,Array,0.099501112725892,0.43828737901672,0.19900222545178,0.49254290028912
16,Two,4,24547,2D,4,Lightness,def,Array,Array,0.51293749269552,0.070717244247613,0.40916872663157,0.12106440307329
16,Two,9,16709,2D,8,Lightness,att,Array,Array,0.61425397730229,0.48794553481811,0.32003117584754,0.42112705403486
16,Two,6,37578,juxta,8,Lightness,def,Array,Array,0.21705482669677,0.44370923782826,0.2230816335867,0.39322352049903
16,Two,7,17616,2D,8,Lightness,def,Array,Array,0.42083236015665,0.17875827414015,0.19664609307399,0.10640098627884
16,Two,8,23885,vsup,4,Lightness,att,Array,Array,0.27613772214702,0.37591417845012,0.23266778410796,0.31377629536619
16,Two,11,9483,juxta,4,Lightness,att,Array,Array,0.53577783817709,0.98851669340326,0.53921216966581,0.018852673548261
16,Two,12,8889,juxta,8,Lightness,att,Array,Array,0.62187141516301,0.52004013351035,0.48731258965172,0.35393209374817
17,Two,1,49171,vsup,8,Lightness,def,Array,Array,0.21089485806298,0.57176183729402,0.16707914816062,0.25154847633133
16,Two,10,17123,vsup,8,Lightness,att,Array,Array,0.52009539405783,0.59150022973584,0.39141296762875,0.43162599019761
17,Two,2,27173,2D,4,Lightness,def,Array,Array,0.047312899892659,0.6914117498962,0.094625799785317,0.47253592966267
17,Two,5,42288,vsup,8,Lightness,att,Array,Array,0.65080519372629,0.46719212878674,0.18830837288561,0.19503338479825
17,Two,3,11049,vsup,4,Lightness,def,Array,Array,0.31766928006997,0.4434863930288,0.2315616790789,0.29863753157154
17,Two,4,96752,juxta,8,Lightness,def,Array,Array,0.19885298455493,0.60432430900973,0.12130597847092,0.40301711123598
17,Two,6,8146,vsup,4,Lightness,att,Array,Array,0.74973977911895,0.36378900820466,0.26975413134902,0.28100529392827
17,Two,7,19563,2D,8,Lightness,att,Array,Array,0.84769960693209,0.71789685596348,0.11511721279963,0.32265839751009
17,Two,8,38252,2D,8,Lightness,def,Array,Array,0.11242772426467,0.6510798395227,0.11371472040249,0.29950345884073
17,Two,9,46602,2D,4,Lightness,att,Array,Array,0.86421195120735,0.45020097576991,0.25630713491963,0.50109577929774
17,Two,10,32520,juxta,4,Lightness,def,Array,Array,0.10210057745782,0.50559284852241,0.16303968002766,0.33947322353993
17,Two,11,70203,juxta,8,Lightness,att,Array,Array,0.8052133626483,0.50442674961957,0.19193992000969,0.35928607930782
17,Two,12,17318,juxta,4,Lightness,att,Array,Array,0.89181174323845,0.51721184779473,0.2163765135231,0.45261159425166
18,Two,1,56364,vsup,8,Lightness,att,Array,Array,0.71638318024766,0.42973800676591,0.33831082351882,0.33180696275475
18,Two,2,30231,juxta,4,Lightness,def,Array,Array,0.045276138339988,0.67006586208425,0.090552276679976,0.4572529576565
18,Two,3,34274,juxta,8,Lightness,def,Array,Array,0.25878251856604,0.43393725906801,0.36724806736868,0.42479307703693
18,Two,4,28365,2D,4,Lightness,att,Array,Array,0.9473733348968,0.63167721888162,0.1052533302064,0.45291202497788
18,Two,5,20186,vsup,8,Lightness,def,Array,Array,0.33368507963513,0.13849038353466,0.14087182529028,0.1548732220752
18,Two,6,25488,vsup,4,Lightness,att,Array,Array,0.7759118160223,0.48216942738062,0.25937396266499,0.42141523182398
18,Two,7,28431,vsup,4,Lightness,def,Array,Array,0.1161198988776,0.5815087793633,0.23223979775519,0.43463491279132
18,Two,8,50906,2D,8,Lightness,att,Array,Array,0.55078350685043,0.55545003054864,0.40055491358052,0.41122750966367
18,Two,9,52927,juxta,8,Lightness,att,Array,Array,0.91036746066316,0.77333856883434,0.10396546847801,0.17508569682115
18,Two,10,49928,2D,8,Lightness,def,Array,Array,0.31646583297156,0.29416245061621,0.2270015553993,0.2324419554477
18,Two,11,66614,2D,4,Lightness,def,Array,Array,0.48429526194845,0.22370306250446,0.11692275028201,0.14105543122113
18,Two,12,35481,juxta,4,Lightness,att,Array,Array,0.75389276519743,0.38213169502823,0.28834950412529,0.44759416222073
19,Two,1,40064,juxta,8,Lightness,att,Array,Array,0.88629876548368,0.69275003478838,0.12796343281238,0.32082690192867
