workerId,task,index,rt,v,u,type,ramp,size,qShort,vError,uError,error
18,One,15,32774,0.340947764143,0.52955751718989,vsup,Lightness,4,1uav,0,0.47044248281011,0.47044248281011
18,One,16,29934,0.41436199653821,1,juxta,Lightness,4,1uav,0,0,0
18,One,17,32426,0.89070156728972,0.37568319493741,2D,Lightness,8,0u1v,0.10929843271028,0.37568319493741,0.48498162764769
18,One,14,25792,0.66094329752925,0.41190598472072,2D,Lightness,8,1uav,0,0.58809401527928,0.58809401527928
18,One,18,19719,0,0,vsup,Lightness,4,0u0v,0,0,0
19,One,2,10981,1,0,vsup,Lightness,8,0u1v,0,0,0
19,One,1,44274,0,0,vsup,Lightness,4,0u0v,0,0,0
19,One,3,21723,1,0,2D,Lightness,8,0u1v,0,0,0
19,One,5,20185,0.46120061859464,1,vsup,Lightness,8,1uav,0,0,0
19,One,4,13653,1,1,2D,Lightness,8,1uav,0,0,0
19,One,6,13036,0,1,juxta,Lightness,8,1uav,0,0,0
19,One,7,9052,0.5993776607732,1,vsup,Lightness,4,1uav,0,0,0
19,One,8,9585,0,0,2D,Lightness,8,0u0v,0,0,0
19,One,9,22439,0.49637589719336,0.13076710453079,juxta,Lightness,8,0u1v,0.50362410280664,0.13076710453079,0.63439120733743
19,One,10,25868,0.2378736641613,0.36922369895051,2D,Lightness,4,0u0v,0.2378736641613,0.36922369895051,0.60709736311182
19,One,11,12535,0.99159233290986,0.47073122891033,2D,Lightness,4,1uav,0,0.52926877108967,0.52926877108967
19,One,12,10334,0.37347934865144,1,juxta,Lightness,4,1uav,0,0,0
19,One,13,20245,1,0,juxta,Lightness,4,0u0v,1,0,1
19,One,14,17056,1,0,vsup,Lightness,4,0u1v,0,0,0
19,One,15,26808,0,0.56076731408413,juxta,Lightness,8,0u0v,0,0.56076731408413,0.56076731408413
19,One,16,8318,0,0,vsup,Lightness,8,0u0v,0,0,0
19,One,17,42020,1,0,juxta,Lightness,4,0u1v,0,0,0
19,One,18,12519,1,0,2D,Lightness,4,0u1v,0,0,0
20,One,1,12031,1,0,2D,Lightness,8,0u1v,0,0,0
20,One,2,10314,0.4493006372618,1,vsup,Lightness,4,1uav,0,0,0
20,One,3,11220,0.051085143010909,0.50409675660133,juxta,Lightness,8,0u0v,0.051085143010909,0.50409675660133,0.55518189961223
20,One,4,7500,0,0,2D,Lightness,4,0u0v,0,0,0
20,One,5,6419,0.41348779106946,1,juxta,Lightness,4,1uav,0,0,0
20,One,6,9581,1,0,vsup,Lightness,8,0u1v,0,0,0
20,One,8,6384,0,0,vsup,Lightness,8,0u0v,0,0,0
20,One,7,7942,0,0,juxta,Lightness,4,0u0v,0,0,0
20,One,9,6798,0,0,2D,Lightness,8,0u0v,0,0,0
20,One,10,15446,1,0,vsup,Lightness,4,0u1v,0,0,0
20,One,11,9328,1,0,2D,Lightness,4,0u1v,0,0,0
20,One,12,6395,0,1,2D,Lightness,4,1uav,0,0,0
20,One,13,4307,0,0,vsup,Lightness,4,0u0v,0,0,0
20,One,14,15664,1,0,juxta,Lightness,8,0u1v,0,0,0
20,One,15,6025,1,0,juxta,Lightness,4,0u1v,0,0,0
20,One,16,4245,0.57572186472491,1,juxta,Lightness,8,1uav,0,0,0
20,One,18,3199,0,1,vsup,Lightness,8,1uav,0,0,0
20,One,17,4379,0,0.44152598066324,2D,Lightness,8,1uav,0,0.55847401933676,0.55847401933676
21,One,1,11710,1,1,vsup,Lightness,8,0u0v,1,1,2
